#Ef (V/um) | GS1 (meV) | GS2 (meV) | Gap (micro-eV)
2.000000000000000000e+01 -1.264384107740764662e+01 -1.264371402788250620e+01 1.270495251404213377e-01
2.300000000000000000e+01 -9.903528966697658475e+00 -9.903416989449564056e+00 1.119772480944192239e-01
2.600000000000000000e+01 -7.959300330337574003e+00 -7.959202658118476492e+00 9.767221909751100384e-02
2.900000000000000000e+01 -6.531443280590762512e+00 -6.531358294651592900e+00 8.498593916961283412e-02
3.200000000000000000e+01 -5.452886866069155403e+00 -5.452812815597974705e+00 7.405047118069774115e-02
3.500000000000000000e+01 -4.618820983633967536e+00 -4.618756254065857547e+00 6.472956810998908850e-02
3.800000000000000000e+01 -3.960817393371542039e+00 -3.960760584856801714e+00 5.680851474032522219e-02
4.100000000000000000e+01 -3.432686847461810853e+00 -3.432636778308672643e+00 5.006915313821025393e-02
4.400000000000000000e+01 -3.002353699488468752e+00 -3.002309383181493985e+00 4.431630697476762748e-02
4.700000000000000000e+01 -2.646989744956678159e+00 -2.646950360646816769e+00 3.938430986138996559e-02
5.000000000000000000e+01 -2.349995433301469205e+00 -2.349960297429200207e+00 3.513587226899872462e-02
5.300000000000000000e+01 -2.099069342242272818e+00 -2.099037883823570372e+00 3.145841870244581173e-02
5.600000000000000000e+01 -1.884940423612215366e+00 -1.884912163635293680e+00 2.825997692168513709e-02
5.900000000000000000e+01 -1.700515809413325918e+00 -1.700490344015583632e+00 2.546539774228584463e-02
6.200000000000000000e+01 -1.540295952677749991e+00 -1.540272939541137864e+00 2.301313661212667228e-02
6.500000000000000000e+01 -1.399965700911963262e+00 -1.399944848303307676e+00 2.085260865558602461e-02
6.800000000000000000e+01 -1.276103494983219289e+00 -1.276084552932515326e+00 1.894205070396282053e-02
7.100000000000000000e+01 -1.165971283113072410e+00 -1.165954036307660591e+00 1.724680541181911053e-02
7.400000000000000000e+01 -1.067360433411428833e+00 -1.067344695463624538e+00 1.573794780429516038e-02
7.700000000000000000e+01 -9.784770201548111945e-01 -9.784626289677971211e-01 1.439118701407338108e-02
8.000000000000000000e+01 -8.978551413454471941e-01 -8.978419553555745392e-01 1.318598987265495737e-02
