# L  alpha(eV.A)  gap_ueV_2nd  gap_ueV_4th
2.000000000000000000e+01 1.271016091514995752e-04 1.271016091507204404e-01
2.300000000000000000e+01 1.120455879592838823e-04 1.120455879622533901e-01
2.600000000000000000e+01 9.775654936124885124e-05 9.775654936233779679e-02
2.900000000000000000e+01 8.508614184405008743e-05 8.508614184315338447e-02
3.200000000000000000e+01 7.416664987253926726e-05 7.416664987193455350e-02
3.500000000000000000e+01 6.486202835863843900e-05 6.486202835855742199e-02
3.800000000000000000e+01 5.695770936691806730e-05 5.695770936581939781e-02
4.100000000000000000e+01 5.023561848851675862e-05 5.023561848926591522e-02
4.400000000000000000e+01 4.450059912015787405e-05 4.450059912057546807e-02
4.700000000000000000e+01 3.958694269037951654e-05 3.958694268961851503e-02
5.000000000000000000e+01 3.535725710785915971e-05 3.535725710867090865e-02
5.300000000000000000e+01 3.169880509650294733e-05 3.169880509598307916e-02
5.600000000000000000e+01 2.851939518116863097e-05 2.851939518116845818e-02
5.900000000000000000e+01 2.574360543863635629e-05 2.574360543857769079e-02
6.200000000000000000e+01 2.330957286693026751e-05 2.330957286694398944e-02
6.500000000000000000e+01 2.116636137697947839e-05 2.116636137715344201e-02
6.800000000000000000e+01 1.927184252710751101e-05 1.927184252741194481e-02
7.100000000000000000e+01 1.759100341598914222e-05 1.759100341607033879e-02
7.400000000000000000e+01 1.609459977962215266e-05 1.609459977965077560e-02
7.700000000000000000e+01 1.475808377838517427e-05 1.475808377869765320e-02
8.000000000000000000e+01 1.356074874374920226e-05 1.356074874365054833e-02
