# theta_deg  Ey_V_per_um  Ez_V_per_um  GS1_meV  GS2_meV  numerical_gap_microeV  alpha_eV_A  perturbative_gap_k1_microeV  
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 9.681077861178374988e+00 9.692163550983678988e+00 1.108568980530410997e+01 5.566579492937684913e-03 1.113315898587478792e+01
1.800000000000000044e+00 6.282151815625658386e-02 1.999013120731463200e+00 9.680567419203770285e+00 9.692252535800818691e+00 1.168511659704885020e+01 5.865298518651008985e-03 1.173059703731341230e+01
3.600000000000000089e+00 1.255810390586267478e-01 1.996053456856543340e+00 9.679050104493104101e+00 9.692369600500349236e+00 1.331949600724691152e+01 6.680280530270737288e-03 1.336056106059427329e+01
5.400000000000000355e+00 1.882166266370286778e-01 1.991123929206159993e+00 9.676488459865989711e+00 9.692148977469921434e+00 1.566051760393261105e+01 7.848539225839399128e-03 1.569707845167772575e+01
7.200000000000000178e+00 2.506664671286085166e-01 1.984229402628955752e+00 9.672692623924353583e+00 9.691122873714972386e+00 1.843024979061858204e+01 9.231619679168382928e-03 1.846323935843739861e+01
9.000000000000000000e+00 3.128689300804617934e-01 1.975376681190275763e+00 9.667305788961133572e+00 9.688756530005282031e+00 2.145074104414890215e+01 1.074059242478406229e-02 2.148118484950403584e+01
1.080000000000000071e+01 3.747626291714493130e-01 1.964574501457377442e+00 9.659831477039054093e+00 9.684447684516497290e+00 2.461620747744308701e+01 1.232247138643633236e-02 2.464494277292297753e+01
1.259999999999999964e+01 4.362864827930850731e-01 1.951833523877494869e+00 9.649664164496307706e+00 9.677527229749280480e+00 2.786306525297266390e+01 1.394536028202941064e-02 2.789072056404856426e+01
1.440000000000000036e+01 4.973797743297095897e-01 1.937166322257262152e+00 9.636115522911921971e+00 9.667266999574501085e+00 3.115147666257755787e+01 1.558925662291465314e-02 3.117851324573213390e+01
1.619999999999999929e+01 5.579822120784586614e-01 1.920587371353886130e+00 9.618436999728405823e+00 9.652892231349644803e+00 3.445523162123875949e+01 1.724099366633997238e-02 3.448198733278090344e+01
1.800000000000000000e+01 6.180339887498947915e-01 1.902113032590307062e+00 9.595839830611547328e+00 9.633596083823498191e+00 3.775625321195130368e+01 1.889148830121339592e-02 3.778297660239280020e+01
1.980000000000000071e+01 6.774758404905828479e-01 1.881761537908450910e+00 9.567512963233577139e+00 9.608554500594154391e+00 4.104153736057825341e+01 2.053420607224884509e-02 4.106841214456154177e+01
