kx | Ef (V/um) | GS1 (meV) | GS2 (meV) | Gap (micro-eV)
0.000000000000000000e+00 0.000000000000000000e+00 -6.127750489588717819e+00 -6.127750489588495775e+00 2.220446049250313081e-10
0.000000000000000000e+00 5.000000000000000000e-01 -3.785951795874750836e+00 -3.785951795874514580e+00 2.362554596402333118e-10
0.000000000000000000e+00 1.000000000000000000e+00 2.393486926224736022e-01 2.393486926225291134e-01 5.551115123125782702e-11
0.000000000000000000e+00 1.500000000000000222e+00 4.805061940347424176e+00 4.805061940347465921e+00 4.174438572590588592e-11
0.000000000000000000e+00 2.000000000000000000e+00 9.675485520256710714e+00 9.675485520257057104e+00 3.463895836830488406e-10
0.000000000000000000e+00 2.500000000000000000e+00 1.475202518646595529e+01 1.475202518646621996e+01 2.646771690706373192e-10
0.000000000000000000e+00 3.000000000000000444e+00 1.998141231289378439e+01 1.998141231289399400e+01 2.096101070492295548e-10
0.000000000000000000e+00 3.500000000000000000e+00 2.533071004950289407e+01 2.533071004950303262e+01 1.385558334732195362e-10
0.000000000000000000e+00 4.000000000000000000e+00 3.077774520483447773e+01 3.077774520483455944e+01 8.171241461241152138e-11
0.000000000000000000e+00 4.500000000000000000e+00 3.630668420116410289e+01 3.630668420116435158e+01 2.486899575160350651e-10
0.000000000000000000e+00 5.000000000000000000e+00 4.190571866072542662e+01 4.190571866072548346e+01 5.684341886080801487e-11
0.000000000000000000e+00 5.500000000000000000e+00 4.756574317820604136e+01 4.756574317820620479e+01 1.634248292248230428e-10
0.000000000000000000e+00 6.000000000000000888e+00 5.327954811958566950e+01 5.327954811958586845e+01 1.989519660128280520e-10
0.000000000000000000e+00 6.500000000000000888e+00 5.904130056807659344e+01 5.904130056807672133e+01 1.278976924368180335e-10
0.000000000000000000e+00 7.000000000000000000e+00 6.484619629463034585e+01 6.484619629463034585e+01 0.000000000000000000e+00
0.000000000000000000e+00 7.500000000000000000e+00 7.069021821603313072e+01 7.069021821603313072e+01 0.000000000000000000e+00
0.000000000000000000e+00 8.000000000000000000e+00 7.656996383911146609e+01 7.656996383911172188e+01 2.557953848736360669e-10
0.000000000000000000e+00 8.500000000000000000e+00 8.248251891491617016e+01 8.248251891491628385e+01 1.136868377216160297e-10
0.000000000000000000e+00 9.000000000000000000e+00 8.842536294319964441e+01 8.842536294319971546e+01 7.105427357601001859e-11
0.000000000000000000e+00 9.500000000000000000e+00 9.439629717885098614e+01 9.439629717885117088e+01 1.847411112976260483e-10
0.000000000000000000e+00 1.000000000000000000e+01 1.003933888827419025e+02 1.003933888827419167e+02 1.421085471520200372e-11
8.000000000000000654e-05 0.000000000000000000e+00 -6.128081229623216331e+00 -6.128081229623050241e+00 1.660893644839234184e-10
8.000000000000000654e-05 5.000000000000000000e-01 -3.786496497478017531e+00 -3.786038677043343625e+00 4.578204346739056518e-01
8.000000000000000654e-05 1.000000000000000000e+00 2.386875023443202348e-01 2.393975500061817918e-01 7.100476618615569890e-01
