Ef (V/um) | GS1 (meV) | GS2 (meV) | Gap (micro-eV)
0.000000000000000000e+00 -6.179408886954493418e+00 -6.179408886954243840e+00 2.495781359357351903e-10
2.916666666666666852e-01 -5.193743107240175405e+00 -5.189876211986743648e+00 3.866895253431756885e+00
5.833333333333333703e-01 -3.225821097766770507e+00 -3.219500916825865477e+00 6.320180940905029132e+00
8.750000000000000000e-01 -8.853922960248977736e-01 -8.772266019545227334e-01 8.165694070375039360e+00
1.166666666666666741e+00 1.665486396450907680e+00 1.675139029765723819e+00 9.652633314816139176e+00
1.458333333333333259e+00 4.358721586725927466e+00 4.369615131050371915e+00 1.089354432444444853e+01
1.750000000000000000e+00 7.157531947728626776e+00 7.169484848217819284e+00 1.195290048919250836e+01
2.041666666666666963e+00 1.003917784065742858e+01 1.005204979117668707e+01 1.287195051925849043e+01
2.333333333333333481e+00 1.298835134054303353e+01 1.300203032181995688e+01 1.367898127692335208e+01
2.625000000000000000e+00 1.599412102022383664e+01 1.600851538685588338e+01 1.439436663204674005e+01
2.916666666666666519e+00 1.904833400017480471e+01 1.906336733257250771e+01 1.503333239770299201e+01
3.208333333333333481e+00 2.214470317464889604e+01 2.216031076491384155e+01 1.560759026494551449e+01
3.500000000000000000e+00 2.527825002903955109e+01 2.529437638983774050e+01 1.612636079818940971e+01
3.791666666666666519e+00 2.844494637503669310e+01 2.846154341886063222e+01 1.659704382393911715e+01
4.083333333333333925e+00 3.164147413802075093e+01 3.165849981236877753e+01 1.702567434802659818e+01
4.375000000000000000e+00 3.486505864409254940e+01 3.488247588639407581e+01 1.741724230152641439e+01
4.666666666666666963e+00 3.811334952046203028e+01 3.813112544315683294e+01 1.777592269480265941e+01
4.958333333333333925e+00 4.138433348861965300e+01 4.140243873363138505e+01 1.810524501173205181e+01
5.250000000000000000e+00 4.467626913942304867e+01 4.469467735973854161e+01 1.840822031549294024e+01
5.541666666666666963e+00 4.798763723825440053e+01 4.800632467650400770e+01 1.868743824960716893e+01
5.833333333333333037e+00 5.131710224161479061e+01 5.133604738379331422e+01 1.894514217852361071e+01
6.125000000000000000e+00 5.466348206307957014e+01 5.468266535125136585e+01 1.918328817179570933e+01
6.416666666666666963e+00 5.802572401267422464e+01 5.804512760453774689e+01 1.940359186352225151e+01
6.708333333333333037e+00 6.140288542660071869e+01 6.142249299267991347e+01 1.960756607919478256e+01
7.000000000000000000e+00 6.479411790939208515e+01 6.481391446073831730e+01 1.979655134623214963e+01
