-2.799999999999999972e-03 1.960989640412898194e-02 1.965123165057967858e-02
-2.613333333333333394e-03 1.965629699094592620e-02 1.969504709591755887e-02
-2.426666666666666815e-03 1.969963421965052752e-02 1.973576381515204647e-02
-2.239999999999999804e-03 1.973990043612569578e-02 1.977337670987164286e-02
-2.053333333333333226e-03 1.977708845382322722e-02 1.980788114290663038e-02
-1.866666666666666648e-03 1.981119155539674825e-02 1.983927294036870459e-02
-1.680000000000000070e-03 1.984220349415467821e-02 1.986754839352775082e-02
-1.493333333333333275e-03 1.987011849537456687e-02 1.989270426057004881e-02
-1.306666666666666697e-03 1.989493125746480406e-02 1.991473776821649222e-02
-1.120000000000000119e-03 1.991663695295883829e-02 1.993364661319366182e-02
-9.333333333333333239e-04 1.993523122937598813e-02 1.994942896357992934e-02
-7.466666666666667458e-04 1.995071020991782962e-02 1.996208345999864187e-02
-5.600000000000001678e-04 1.996307049401883915e-02 1.997160921667853750e-02
-3.733333333333335897e-04 1.997230915775025095e-02 1.997800582237237166e-02
-1.866666666666665780e-04 1.997842375406101711e-02 1.998127334111995945e-02
0.000000000000000000e+00 1.998141231289382591e-02 1.998141231289395081e-02
1.866666666666665780e-04 1.997842375406104487e-02 1.998127334112013986e-02
3.733333333333331561e-04 1.997230915775045912e-02 1.997800582237253819e-02
5.599999999999997341e-04 1.996307049401865874e-02 1.997160921667855138e-02
7.466666666666667458e-04 1.995071020991791289e-02 1.996208345999872513e-02
9.333333333333333239e-04 1.993523122937615466e-02 1.994942896357998485e-02
1.119999999999999902e-03 1.991663695295897707e-02 1.993364661319388387e-02
1.306666666666666480e-03 1.989493125746498448e-02 1.991473776821654773e-02
1.493333333333333058e-03 1.987011849537495545e-02 1.989270426057002106e-02
1.679999999999999636e-03 1.984220349415431739e-02 1.986754839352768143e-02
1.866666666666666214e-03 1.981119155539647070e-02 1.983927294036849642e-02
2.053333333333332792e-03 1.977708845382342151e-02 1.980788114290667201e-02
2.240000000000000237e-03 1.973990043612569578e-02 1.977337670987143470e-02
2.426666666666666815e-03 1.969963421965072181e-02 1.973576381515222689e-02
2.613333333333333394e-03 1.965629699094588456e-02 1.969504709591747560e-02
2.799999999999999972e-03 1.960989640412902357e-02 1.965123165057956756e-02
