# size(nm)  g_vb   gap_vb(eV)   gap_vb1(eV)   gap_vb2(eV)
2.000000000000000000e+01 1.373830606772978591e+01 7.940740907147816885e-06 5.503339873879492528e-06 3.026202811531181203e-06 1.156000003388335529e-06 2.000000005862172081e+00
2.419999999999999929e+01 1.483480298734827585e+01 8.574516126687303785e-06 6.524304409463721477e-06 4.231093014787218332e-06 1.155999999780110699e-06 1.999999999619568536e+00
2.839999999999999858e+01 1.557454943376869849e+01 9.002089572718308119e-06 7.285624117987429815e-06 5.219411545992480583e-06 1.155999999724599547e-06 1.999999999523528471e+00
3.260000000000000142e+01 1.609253839632000904e+01 9.301487193072964510e-06 7.859457674305389552e-06 6.022725659436678480e-06 1.155999999724599547e-06 1.999999999523528471e+00
3.679999999999999716e+01 1.646757046425831561e+01 9.518255728341307176e-06 8.298206772021712863e-06 6.674586068565122043e-06 1.155999999780110699e-06 1.999999999619568536e+00
4.100000000000000000e+01 1.674706752211366734e+01 9.679805027781700211e-06 8.638872074845545257e-06 7.205139105417868173e-06 1.155999999724599547e-06 1.999999999523528471e+00
4.520000000000000284e+01 1.696059539640004488e+01 9.803224139119225827e-06 8.907423587493912276e-06 7.639409255251472519e-06 1.155999999724599547e-06 1.999999999523528471e+00
4.939999999999999858e+01 1.712723448661185799e+01 9.899541533261654869e-06 9.122184914626008806e-06 7.997377790169846179e-06 1.155999999724599547e-06 1.999999999523528471e+00
5.360000000000000142e+01 1.725969376950984469e+01 9.976102998776690406e-06 9.296225111003839775e-06 8.294709541212946791e-06 1.155999999724599547e-06 1.999999999523528471e+00
5.779999999999999716e+01 1.736668097925610255e+01 1.003794160601002676e-05 9.438990336211108834e-06 8.543598516611884686e-06 1.155999999724599547e-06 1.999999999523528471e+00
6.210000000000000142e+01 1.745620319277689703e+01 1.008968544542504682e-05 9.559973189202965183e-06 8.758118116129059993e-06 1.155999999724599547e-06 1.999999999523528471e+00
6.629999999999999716e+01 1.752856296160789284e+01 1.013150939180936135e-05 9.658780770537911745e-06 8.935817897937157334e-06 1.155999999724599547e-06 1.999999999523528471e+00
7.050000000000000000e+01 1.758924809613436935e+01 1.016658539956566583e-05 9.742346726346069047e-06 9.087886352234300635e-06 1.156000000168688757e-06 2.000000000291849211e+00
7.470000000000000284e+01 1.764064326052227827e+01 1.019629180458187651e-05 9.813614656296572661e-06 9.218877780263912830e-06 1.156000000168688757e-06 2.000000000291849211e+00
7.890000000000000568e+01 1.768455563624803517e+01 1.022167315775136549e-05 9.874859702891985655e-06 9.332411516445402594e-06 1.156000000168688757e-06 2.000000000291849211e+00
8.309999999999999432e+01 1.772237435575035391e+01 1.024353237762370538e-05 9.927860265467221279e-06 9.431384412166010645e-06 1.156000000168688757e-06 2.000000000291849211e+00
8.729999999999999716e+01 1.775518101872840404e+01 1.026249462882501771e-05 9.974021106670715245e-06 9.518131639879145317e-06 1.468246870335310206e-04 2.540219498850017601e+02
9.150000000000000000e+01 1.778382767273086884e+01 1.027905239483844178e-05 1.001446272643944334e-05 9.594548829508454599e-06 1.156000000168688757e-06 2.000000000291849211e+00
9.570000000000000284e+01 1.780899272977646319e+01 1.029359779781079641e-05 1.005008702893456923e-05 9.662185301151935204e-06 1.156000000168688757e-06 2.000000000291849211e+00
1.000000000000000000e+02 1.783171894671580304e+01 1.030673355120173464e-05 1.008233241900423176e-05 9.723664900926310903e-06 1.156000000168688757e-06 2.000000000291849211e+00
