# theta_deg  Ey_V_per_um  Ez_V_per_um  GS1_meV  GS2_meV  numerical_gap_microeV  alpha_eV_A  perturbative_gap_k1_microeV  
0.000000000000000000e+00 0.000000000000000000e+00 7.000000000000000000e+00 6.488967033269024398e+01 6.490168624403963804e+01 1.201591134938895244e+01 6.033093401395793996e-03 1.206618680277271594e+01
2.571428571428571619e+00 3.140538124536045306e-01 6.992951465789202459e+00 6.504694196597021971e+01 6.506085698250527116e+01 1.391501653505433644e+01 6.980706148606999686e-03 1.396141229709213505e+01
5.142857142857143238e+00 6.274751623240345522e-01 6.971820057966673367e+00 6.549116856960493749e+01 6.550952574671204331e+01 1.835717710710338224e+01 9.199282300018790659e-03 1.839856459892597229e+01
7.714285714285715301e+00 9.396328607235884256e-01 6.936648332375542125e+00 6.615436872853805994e+01 6.617811093168971581e+01 2.374220315165542772e+01 1.189059369480515577e-02 2.378118738956269596e+01
1.028571428571428648e+01 1.249898263590456526e+00 6.887507120190407228e+00 6.695751119577339239e+01 6.698686129611317597e+01 2.935010033977558663e+01 1.469421445323928523e-02 2.938842890588821888e+01
1.285714285714285765e+01 1.557646537694200806e+00 6.824495385272764558e+00 6.783036936734785627e+01 6.786529280742102799e+01 3.492344007316461330e+01 1.748100290489747882e-02 3.496200580983821737e+01
1.542857142857143060e+01 1.862257918966726322e+00 6.747740024870973130e+00 6.871729294641595231e+01 6.875766966948494030e+01 4.037672306898831920e+01 2.020799561985967691e-02 4.041599123974503982e+01
1.800000000000000000e+01 2.163118960624631715e+00 6.657395614066074607e+00 6.957586316450878883e+01 6.962154869934833812e+01 4.568553483955128769e+01 2.286288361959601390e-02 4.572576723919918606e+01
2.057142857142857295e+01 2.459623768569399349e+00 6.553644094478159765e+00 7.037382480091173420e+01 7.042467115813245471e+01 5.084635722071850950e+01 2.544385638438146496e-02 5.088771276766379259e+01
2.314285714285714590e+01 2.751175221577465635e+00 6.436694407860153788e+00 7.108634335172790486e+01 7.114220554894335180e+01 5.586219721544216554e+01 2.795238907146023813e-02 5.590477814332306394e+01
2.571428571428571530e+01 3.037186173822906454e+00 6.306782075316934133e+00 7.169398877069160392e+01 7.175472637703295220e+01 6.073760634134339398e+01 3.039074048170646233e-02 6.078148096358426500e+01
2.828571428571428825e+01 3.317080637310990898e+00 6.164168722997165339e+00 7.218134459222527255e+01 7.224682167182314174e+01 6.547707959786430365e+01 3.276114727530144571e-02 6.552229455016045279e+01
3.085714285714286120e+01 3.590294941841344123e+00 6.009141555213062702e+00 7.253606386739447487e+01 7.260614851324292829e+01 7.008464584845609124e+01 3.506561662811054358e-02 7.013123325731729096e+01
3.342857142857143060e+01 3.856278870164717709e+00 5.842012776049118727e+00 7.274822616406149223e+01 7.282279002426645320e+01 7.456386020496252343e+01 3.730592111327513116e-02 7.461184222767869301e+01
3.600000000000000000e+01 4.114496766047311738e+00 5.663118960624631271e+00 7.280989477124535370e+01 7.288881269007779906e+01 7.891791883243848815e+01 3.948365538017110238e-02 7.896731076061091414e+01
3.857142857142857650e+01 4.364428613011134495e+00 5.472820377276208959e+00 7.271480800318322224e+01 7.279795780513603631e+01 8.314980195281430042e+01 4.160030723609881020e-02 8.320061447350535389e+01
4.114285714285714590e+01 4.605571081577989112e+00 5.271500262025275774e+00 7.245816197033217065e+01 7.254542438826217676e+01 8.726241793000077962e+01 4.365732943854919168e-02 8.731465887724942831e+01
4.371428571428571530e+01 4.837438542908052419e+00 5.059564046791741099e+00 7.203645738248785335e+01 7.212771612795964415e+01 9.125874547179225260e+01 4.565621065140312851e-02 9.131242130308581295e+01
4.628571428571429180e+01 5.059564046791741099e+00 4.837438542908052419e+00 7.144739275633646969e+01 7.154253473621798776e+01 9.514197988153006236e+01 4.759854849577937336e-02 9.519709699144785020e+01
4.885714285714286120e+01 5.271500262025276662e+00 4.605571081577988224e+00 7.068979286330790046e+01 7.078870855656077765e+01 9.891569325287674985e+01 4.948612962774698310e-02 9.897225925668828950e+01
5.142857142857143060e+01 5.472820377276208959e+00 4.364428613011134495e+00 6.976356571943574636e+01 6.986614974106242926e+01 1.025840216266754652e+02 5.132102334556168377e-02 1.026420466912203437e+02
5.400000000000000711e+01 5.663118960624631271e+00 4.114496766047310850e+00 6.866968477871165533e+01 6.877583667505429332e+01 1.061518963426377695e+02 5.310569734323401792e-02 1.062113946856124755e+02
5.657142857142857650e+01 5.842012776049118727e+00 3.856278870164717265e+00 6.741019589017719227e+01 6.751982123378854794e+01 1.096253436113636610e+02 5.484316763305219222e-02 1.096863352652716088e+02
5.914285714285714590e+01 6.009141555213062702e+00 3.590294941841342791e+00 6.598825158296709503e+01 6.610126347065387620e+01 1.130118876867813924e+02 5.653720034230157176e-02 1.130744006846151564e+02
6.171428571428572241e+01 6.164168722997167116e+00 3.317080637310989566e+00 6.440817900906853311e+01 6.452450012135923885e+01 1.163211122907070774e+02 5.819259274081851202e-02 1.163851854824038412e+02
6.428571428571429180e+01 6.306782075316935021e+00 3.037186173822905566e+00 6.267559338676650782e+01 6.279515885532938313e+01 1.195654685628710894e+02 5.981557768317209700e-02 1.196311553652296169e+02
6.685714285714286120e+01 6.436694407860153788e+00 2.751175221577465635e+00 6.079757781225469415e+01 6.092033929088078992e+01 1.227614786260960926e+02 6.141442609315590773e-02 1.228288521875203827e+02
6.942857142857143060e+01 6.553644094478159765e+00 2.459623768569399349e+00 5.878296636401135089e+01 5.890889796326579386e+01 1.259315992544474057e+02 6.300037987646553428e-02 1.260007597538304083e+02
7.200000000000000000e+01 6.657395614066074607e+00 2.163118960624632159e+00 5.664279817395108552e+01 5.677190541630802301e+01 1.291072423569364389e+02 6.458916387210116017e-02 1.291783277436245214e+02
7.457142857142858361e+01 6.747740024870974018e+00 1.862257918966724546e+00 5.439107373728768380e+01 5.452340768891939149e+01 1.323339516317023481e+02 6.620357701002696493e-02 1.324071540224694559e+02
7.714285714285715301e+01 6.824495385272764558e+00 1.557646537694199695e+00 5.204608876299820963e+01 5.218176969039758006e+01 1.356809273993717113e+02 6.787825966868261951e-02 1.357565193360402134e+02
7.971428571428572241e+01 6.887507120190407228e+00 1.249898263590455194e+00 4.963298693188143318e+01 4.977224721215809922e+01 1.392602802766720913e+02 6.966932977596135279e-02 1.393386595523668632e+02
8.228571428571429180e+01 6.936648332375543013e+00 9.396328607235872044e-01 4.718926106861442804e+01 4.733253249867624390e+01 1.432714300618129073e+02 7.167660146393689535e-02 1.433532029269796055e+02
8.485714285714286120e+01 6.971820057966673367e+00 6.274751623240348852e-01 4.477901033488596028e+01 4.492713663270752278e+01 1.481262978215644353e+02 7.410622906723224323e-02 1.482124581345944989e+02
8.742857142857143060e+01 6.992951465789201571e+00 3.140538124536049192e-01 4.254462498601336051e+01 4.269958129637021926e+01 1.549563103568629572e+02 7.752439109138267725e-02 1.550487821825458070e+02
9.000000000000000000e+01 7.000000000000000000e+00 0.000000000000000000e+00 4.116083632523049118e+01 4.132666493454080126e+01 1.658286093103034204e+02 8.296007473148905853e-02 1.659201494629419926e+02
9.257142857142858361e+01 6.992951465789201571e+00 -3.140538124536055853e-01 4.254462498601348841e+01 4.269958129637011979e+01 1.549563103566270570e+02 7.752439109138281603e-02 1.550487821823098784e+02
9.514285714285715301e+01 6.971820057966673367e+00 -6.274751623240355514e-01 4.477901033488610949e+01 4.492713663270770041e+01 1.481262978215852684e+02 7.410622906723271508e-02 1.482124581340324312e+02
9.771428571428572241e+01 6.936648332375542125e+00 -9.396328607235894248e-01 4.718926106861435699e+01 4.733253249867608758e+01 1.432714300617365950e+02 7.167660146393708964e-02 1.433532029291792469e+02
1.002857142857142918e+02 6.887507120190407228e+00 -1.249898263590457415e+00 4.963298693188136923e+01 4.977224721215792158e+01 1.392602802765541128e+02 6.966932977596188015e-02 1.393386595514370470e+02
1.028571428571428612e+02 6.824495385272764558e+00 -1.557646537694200140e+00 5.204608876299825226e+01 5.218176969039756585e+01 1.356809273993162037e+02 6.787825966868139826e-02 1.357565193376014747e+02
1.054285714285714306e+02 6.747740024870974018e+00 -1.862257918966725434e+00 5.439107373728776906e+01 5.452340768891923517e+01 1.323339516314664479e+02 6.620357701002718698e-02 1.324071540200269510e+02
1.080000000000000142e+02 6.657395614066074607e+00 -2.163118960624632603e+00 5.664279817395114947e+01 5.677190541630792353e+01 1.291072423567768510e+02 6.458916387210386634e-02 1.291783277437633046e+02
1.105714285714285836e+02 6.553644094478159765e+00 -2.459623768569399793e+00 5.878296636401125141e+01 5.890889796326575834e+01 1.259315992545098624e+02 6.300037987646692206e-02 1.260007597544132665e+02
1.131428571428571530e+02 6.436694407860153788e+00 -2.751175221577466523e+00 6.079757781225473678e+01 6.092033929088081123e+01 1.227614786260752879e+02 6.141442609315421464e-02 1.228288521861881151e+02
1.157142857142857224e+02 6.306782075316934133e+00 -3.037186173822906454e+00 6.267559338676640124e+01 6.279515885532932629e+01 1.195654685629265970e+02 5.981557768317186802e-02 1.196311553656320683e+02
1.182857142857142918e+02 6.164168722997165339e+00 -3.317080637310990010e+00 6.440817900906850468e+01 6.452450012135929569e+01 1.163211122907903388e+02 5.819259274081916428e-02 1.163851854815573006e+02
1.208571428571428612e+02 6.009141555213063590e+00 -3.590294941841342347e+00 6.598825158296713767e+01 6.610126347065391883e+01 1.130118876867952622e+02 5.653720034229985786e-02 1.130744006852674204e+02
1.234285714285714448e+02 5.842012776049116951e+00 -3.856278870164719930e+00 6.741019589017696489e+01 6.751982123378849110e+01 1.096253436115301980e+02 5.484316763305181752e-02 1.096863352659377426e+02
1.260000000000000142e+02 5.663118960624630382e+00 -4.114496766047314402e+00 6.866968477871162690e+01 6.877583667505444964e+01 1.061518963428181905e+02 5.310569734323510038e-02 1.062113946858345201e+02
