# E  alpha(eV.A)  gap_meV_2nd  gap_meV_4th
0.000000000000000000e+00 -0.000000000000000000e+00 1.734723475976807094e-11 1.734723475976807094e-11
5.000000000000000971e-03 -6.024274906035249587e-06 1.204854979501568391e-02 1.190969869079017140e-02
1.000000000000000194e-02 -1.204854981207049917e-05 2.409709960737860257e-02 2.382044984351738837e-02
1.500000000000000291e-02 -1.807282471810575046e-05 3.614564941627207428e-02 3.573330589409784430e-02
2.000000000000000389e-02 -2.409709962414099835e-05 4.819419923036971642e-02 4.764931928712135001e-02
2.500000000000000486e-02 -3.012137453017624963e-05 6.024274904273263509e-02 5.956954247758605714e-02
3.000000000000000583e-02 -3.614564943621150091e-05 7.229129885683027723e-02 7.149502791355122344e-02
3.500000000000000333e-02 -4.216992434224674881e-05 8.433984866745847242e-02 8.342682803093304233e-02
4.000000000000000777e-02 -4.819419924828199670e-05 9.638839847808666761e-02 9.536599528819911242e-02
4.500000000000001221e-02 -5.421847415431725137e-05 1.084369482904495863e-01 1.073135821316739680e-01
5.000000000000000278e-02 -6.024274906035249249e-05 1.204854981028125049e-01 1.192706410111515902e-01
