# E  alpha(eV.A)  gap_meV_2nd  gap_meV_4th
0.000000000000000000e+00 0.000000000000000000e+00 1.734723475976807094e-11 1.734723475976807094e-11
5.000000000000000971e-03 1.706302537572490708e-05 3.412605075088503970e-02 3.397720833332729118e-02
1.000000000000000194e-02 3.412605075144981416e-05 6.825210150350480287e-02 6.793906504910796063e-02
1.500000000000000291e-02 5.118907612717472124e-05 1.023781522543898426e-01 1.018702185297953866e-01
2.000000000000000389e-02 6.825210150289962832e-05 1.365042030052748823e-01 1.357553171578429474e-01
2.500000000000000486e-02 8.531512687862454218e-05 1.706302537578946454e-01 1.695790093157040213e-01
3.000000000000000583e-02 1.023781522543494425e-04 2.047563045087796851e-01 2.033259433858319865e-01
3.500000000000000333e-02 1.194411776300743428e-04 2.388823552596647248e-01 2.369807677506802213e-01
4.000000000000000777e-02 1.365042030057992566e-04 2.730084060122844880e-01 2.705281307927021039e-01
4.500000000000001221e-02 1.535672283815241841e-04 3.071344567631695277e-01 3.039526808943510128e-01
5.000000000000000278e-02 1.706302537572490573e-04 3.412605075140545674e-01 3.372390664389476878e-01
