-2.799999999999999972e-03 1.964095039598279246e-02 1.966757404550874277e-02
-2.613333333333333394e-03 1.968815418061427291e-02 1.971311206518616688e-02
-2.426666666666666815e-03 1.973218603531763649e-02 1.975545553575339119e-02
-2.239999999999999804e-03 1.977304199259065365e-02 1.979460211866045094e-02
-2.053333333333333226e-03 1.981071831680249196e-02 1.983054970431556707e-02
-1.866666666666666648e-03 1.984521150482369822e-02 1.986329641292296222e-02
-1.680000000000000070e-03 1.987651828657280295e-02 1.989284059524300263e-02
-1.493333333333333275e-03 1.990463562552106935e-02 1.991918083330954103e-02
-1.306666666666666697e-03 1.992956071913529192e-02 1.994231594109438510e-02
-1.120000000000000119e-03 1.995129099925377347e-02 1.996224496510277946e-02
-9.333333333333333239e-04 1.996982413241792098e-02 1.997896718492934987e-02
-7.466666666666667458e-04 1.998515802013167697e-02 1.999248211374422823e-02
-5.600000000000001678e-04 1.999729079907083817e-02 2.000278949873043888e-02
-3.733333333333335897e-04 2.000622084123292177e-02 2.000988932146340049e-02
-1.866666666666665780e-04 2.001194675401592182e-02 2.001378179822169145e-02
0.000000000000000000e+00 2.001446738026523009e-02 2.001446738026547989e-02
1.866666666666665780e-04 2.001194675401614387e-02 2.001378179822201064e-02
3.733333333333331561e-04 2.000622084123269973e-02 2.000988932146346988e-02
5.599999999999997341e-04 1.999729079907090756e-02 2.000278949873036949e-02
7.466666666666667458e-04 1.998515802013169085e-02 1.999248211374393680e-02
9.333333333333333239e-04 1.996982413241780996e-02 1.997896718492918333e-02
1.119999999999999902e-03 1.995129099925387062e-02 1.996224496510259905e-02
1.306666666666666480e-03 1.992956071913529192e-02 1.994231594109437122e-02
1.493333333333333058e-03 1.990463562552122201e-02 1.991918083330966593e-02
1.679999999999999636e-03 1.987651828657280295e-02 1.989284059524286385e-02
1.866666666666666214e-03 1.984521150482360108e-02 1.986329641292308712e-02
2.053333333333332792e-03 1.981071831680247808e-02 1.983054970431574748e-02
2.240000000000000237e-03 1.977304199259072304e-02 1.979460211866086727e-02
2.426666666666666815e-03 1.973218603531755322e-02 1.975545553575361324e-02
2.613333333333333394e-03 1.968815418061410638e-02 1.971311206518598647e-02
2.799999999999999972e-03 1.964095039598307002e-02 1.966757404550888155e-02
