# theta_deg  Ey_V_per_um  Ez_V_per_um  GS1_meV  GS2_meV  numerical_gap_microeV  alpha_eV_A  perturbative_gap_k1_microeV  
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000000e+00 3.108035025321261102e+01 3.108934375114113990e+01 8.993497928530548080e+00 4.517463967513709981e-03 9.034927935025471868e+00
2.399999999999999911e+00 1.675026149167984924e-01 3.996491320395433977e+00 3.113364657026664162e+01 3.114351128322977047e+01 9.864712963131294643e+00 4.951161195580706942e-03 9.902322391213552066e+00
4.799999999999999822e+00 3.347113733292619298e-01 3.985971436998017925e+00 3.128821073826398802e+01 3.130027276548576154e+01 1.206202722177362929e+01 6.046158313863717396e-03 1.209231662770843307e+01
7.199999999999999289e+00 5.013329342572169223e-01 3.968458805257911504e+00 3.152945682023740304e+01 3.154437167768422867e+01 1.491485744682663395e+01 7.469289279661836707e-03 1.493857855956043323e+01
9.599999999999999645e+00 6.670749868644090252e-01 3.943984148282020374e+00 3.183720864334370404e+01 3.185521402623037091e+01 1.800538288666830766e+01 9.011976749910733872e-03 1.802395349954216641e+01
1.200000000000000000e+01 8.316467632710373703e-01 3.912590402935222755e+00 3.218972629519777229e+01 3.221085713100011105e+01 2.113083580233821124e+01 1.057264466346358872e-02 2.114528932700005015e+01
1.439999999999999858e+01 9.947595486594189573e-01 3.874332644514524304e+00 3.256646537856058643e+01 3.259066283258192698e+01 2.419745402133799317e+01 1.210421972390946996e-02 2.420843944766354383e+01
1.680000000000000071e+01 1.156127187777886478e+00 3.829277990128268971e+00 3.294936217326664973e+01 3.297652486744215139e+01 2.716269417550598675e+01 1.358530544576006666e-02 2.717061089185096634e+01
1.919999999999999929e+01 1.315466586954333161e+00 3.777505480949924443e+00 3.332312308421698788e+01 3.335313117242685621e+01 3.000808820986799930e+01 1.500659325203654651e-02 3.001318650403678134e+01
2.159999999999999787e+01 1.472498210738711677e+00 3.719105943553005833e+00 3.367502441176772976e+01 3.370775089597097463e+01 3.272648420324375707e+01 1.636446299663446569e-02 3.272892599270188185e+01
2.400000000000000000e+01 1.626946572303200833e+00 3.654181830570403466e+00 3.399454544532947153e+01 3.402986142600183683e+01 3.531598067237074190e+01 1.765793723584951208e-02 3.531587447228034904e+01
2.639999999999999858e+01 1.778540716739709815e+00 3.582847040957652052e+00 3.427299265341601853e+01 3.431076968957552964e+01 3.777703615950866833e+01 1.888722855604701295e-02 3.777445711156124730e+01
2.879999999999999716e+01 1.927014696406861072e+00 3.505226720175454336e+00 3.450317477229300778e+01 3.454328587134344986e+01 4.011109905044385471e+01 2.005305026940678789e-02 4.010610053878372128e+01
3.119999999999999929e+01 2.072108037492521149e+00 3.421457040642026382e+00 3.467914194447721599e+01 3.472146190976328484e+01 4.231996528607228925e+01 2.115629288509036920e-02 4.231258577044872027e+01
3.360000000000000142e+01 2.213566196973376421e+00 3.331684962840398168e+00 3.479598371288028602e+01 3.484038919530342326e+01 4.440548242314046234e+01 2.219787476930106668e-02 4.439574953854496897e+01
3.600000000000000000e+01 2.351141009169892548e+00 3.236067977499790249e+00 3.484967545373053355e+01 3.489604486992070775e+01 4.636941619017009941e+01 2.317867461766880827e-02 4.635734923542217700e+01
3.839999999999999858e+01 2.484591121113241652e+00 3.134773829303359349e+00 3.483696286708591572e+01 3.488517625810283107e+01 4.821339101691857110e+01 2.409950122902743130e-02 4.819900245800479155e+01
4.079999999999999716e+01 2.613682415960421501e+00 3.027980222607025595e+00 3.475527588315634375e+01 3.480521474506120683e+01 4.993886190486629317e+01 2.496107913021603994e-02 4.992215826134238910e+01
