# theta_deg  Ey_V_per_um  Ez_V_per_um  GS1_meV  GS2_meV  numerical_gap_microeV  alpha_eV_A  perturbative_gap_k1_microeV  
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000000e+00 3.113789211567698345e+01 3.114616389588430323e+01 8.271780207319556766e+00 4.155217529681752564e-03 8.310435059357551779e+00
2.399999999999999911e+00 1.675026149167984924e-01 3.996491320395433977e+00 3.119299792015735306e+01 3.120204219470812390e+01 9.044274550770726506e+00 4.539696392658049487e-03 9.079392785268231236e+00
4.799999999999999822e+00 3.347113733292619298e-01 3.985971436998017925e+00 3.135270958123804874e+01 3.136370466370472343e+01 1.099508246667213385e+01 5.511663742565943609e-03 1.102332748529472006e+01
7.199999999999999289e+00 5.013329342572169223e-01 3.968458805257911504e+00 3.160175986052568575e+01 3.161528568965384167e+01 1.352582912815536531e+01 6.773898549239205751e-03 1.354779709862585690e+01
9.599999999999999645e+00 6.670749868644090252e-01 3.943984148282020374e+00 3.191917990470931343e+01 3.193543771193806080e+01 1.625780722874781148e+01 8.137388190633426319e-03 1.627477638108804214e+01
1.200000000000000000e+01 8.316467632710373703e-01 3.912590402935222755e+00 3.228253198317295158e+01 3.230153817416446316e+01 1.900619099151623459e+01 9.509556928552464691e-03 1.901911385693288992e+01
1.439999999999999858e+01 9.947595486594189573e-01 3.874332644514524304e+00 3.267074882960958604e+01 3.269243515952064172e+01 2.168632991104979624e+01 1.084790584263645510e-02 2.169581168534606519e+01
1.680000000000000071e+01 1.156127187777886478e+00 3.829277990128268971e+00 3.306541076269678570e+01 3.308967167025043921e+01 2.426090755365539664e+01 1.213366210357525246e-02 2.426732420743316254e+01
1.919999999999999929e+01 1.315466586954333161e+00 3.777505480949924443e+00 3.345099377310891953e+01 3.347770849915188052e+01 2.671472604295899345e+01 1.335915784238362117e-02 2.671831568450827632e+01
2.159999999999999787e+01 1.472498210738711677e+00 3.719105943553005833e+00 3.381462755804480480e+01 3.384367037939416178e+01 2.904282134935654014e+01 1.452187003413517655e-02 2.904374006837407052e+01
2.400000000000000000e+01 1.626946572303200833e+00 3.654181830570403466e+00 3.414569739267868442e+01 3.417694224286105253e+01 3.124485018236866551e+01 1.562160215976636166e-02 3.124320431932559217e+01
2.639999999999999858e+01 1.778540716739709815e+00 3.582847040957652052e+00 3.443544779978250858e+01 3.446877024936171807e+01 3.332244957920948991e+01 1.665915711056353832e-02 3.331831422118819575e+01
2.879999999999999716e+01 1.927014696406861072e+00 3.505226720175454336e+00 3.467664498752884583e+01 3.471192299549233695e+01 3.527800796349067980e+01 1.763571881643243716e-02 3.527143763201734572e+01
3.119999999999999929e+01 2.072108037492521149e+00 3.421457040642026382e+00 3.486330842658208695e+01 3.490042252972490644e+01 3.711410314281848599e+01 1.855256903722371162e-02 3.710513807426291066e+01
3.360000000000000142e+01 2.213566196973376421e+00 3.331684962840398168e+00 3.499050438024631404e+01 3.502933763235699161e+01 3.883325211068155625e+01 1.941096099658200236e-02 3.882192199298334145e+01
3.600000000000000000e+01 2.351141009169892548e+00 3.236067977499790249e+00 3.505418970520391042e+01 3.509462750890224214e+01 4.043780369833438471e+01 2.021206496170164027e-02 4.042412992361077784e+01
3.839999999999999858e+01 2.484591121113241652e+00 3.134773829303359349e+00 3.505109478113215005e+01 3.509302467506881840e+01 4.192989393667079412e+01 2.095694547260412016e-02 4.191389094550940086e+01
4.079999999999999716e+01 2.613682415960421501e+00 3.027980222607025595e+00 3.497863648205194664e+01 3.502194790825809179e+01 4.331142620614403427e+01 2.164655112920446656e-02 4.329310225807680723e+01
4.319999999999999574e+01 2.738188423714754904e+00 2.915874509685646210e+00 3.483485430369404412e+01 3.487943836182691371e+01 4.458405813287380681e+01 2.228170784711985472e-02 4.456341569454569651e+01
4.560000000000000142e+01 2.857890718531213903e+00 2.798653362053461713e+00 3.461836467567945874e+01 3.466411386205970047e+01 4.574918638024227846e+01 2.286311111499163620e-02 4.572622223019545373e+01
4.800000000000000000e+01 2.972579301909577421e+00 2.676522425435432950e+00 3.432833005078407496e+01 3.437513797524212578e+01 4.680792445804770807e+01 2.339131479002371644e-02 4.678262958004997074e+01
5.039999999999999858e+01 3.082052971103157013e+00 2.549695958994758982e+00 3.396444064351046421e+01 3.401220171351793198e+01 4.776107000746543463e+01 2.386671464569166401e-02 4.773342929136753554e+01
5.279999999999999716e+01 3.186119672096785038e+00 2.418396459449499769e+00 3.352690779575816293e+01 3.357551685361787008e+01 4.860905785970815174e+01 2.428952480891685001e-02 4.857904961794861975e+01
5.519999999999999574e+01 3.284596836534816156e+00 2.282854270737727287e+00 3.301646900444448107e+01 3.306582089833499793e+01 4.935189389052019493e+01 2.465974458989426271e-02 4.931948918000112059e+01
5.759999999999999432e+01 3.377311702008059857e+00 2.143307179915987071e+00 3.243440580364820391e+01 3.248439486588394942e+01 4.998906223574461904e+01 2.497711197749528933e-02 4.995422395522724912e+01
6.000000000000000000e+01 3.464101615137754386e+00 2.000000000000000444e+00 3.178257715322026300e+01 3.183309654748534001e+01 5.051939426507778563e+01 2.524103798878350388e-02 5.048207597743714814e+01
6.239999999999999858e+01 3.544814316924859376e+00 1.853184140479447128e+00 3.106347305745642373e+01 3.111441393816480172e+01 5.094088070838053994e+01 2.545051255704037368e-02 5.090102511397937235e+01
6.479999999999999716e+01 3.619308209864078751e+00 1.703117166260290860e+00 3.028029635562356958e+01 3.033154675186630556e+01 5.125039624273575356e+01 2.560396659295228333e-02 5.120793318654295945e+01
6.720000000000000284e+01 3.687452606354002071e+00 1.550062345808411735e+00 2.943708598555930323e+01 2.948852926969931687e+01 5.144328414001530803e+01 2.569906399208127940e-02 5.139812798455461973e+01
6.959999999999999432e+01 3.749127957967565816e+00 1.394288189287261392e+00 2.853890450184297478e+01 2.859041720955776711e+01 5.151270771479310184e+01 2.573237691623222329e-02 5.146475383222340128e+01
7.200000000000000000e+01 3.804226065180614125e+00 1.236067977499789805e+00 2.759213044109788626e+01 2.764357903508253500e+01 5.144859398464873834e+01 2.569885699528931533e-02 5.139771399054540524e+01
7.439999999999999147e+01 3.852650267190632416e+00 1.075679282461063702e+00 2.660493191129526025e+01 2.665616773352362401e+01 5.123582222836542144e+01 2.559092871293449506e-02 5.118185742620725875e+01
7.679999999999999716e+01 3.894315611492640716e+00 9.134034804426235388e-01 2.558807566660602362e+01 2.563892658108901657e+01 5.085091448299439065e+01 2.539683347847227282e-02 5.079366695729878245e+01
7.920000000000000284e+01 3.929149002914754885e+00 7.495252583428981819e-01 2.455641324202405329e+01 2.460666874397113446e+01 5.025550194708016960e+01 2.509736190176884568e-02 5.019472380370787334e+01
8.159999999999999432e+01 3.957089331851953329e+00 5.843321142496465948e-01 2.353189776010465550e+01 2.358128000379461398e+01 4.938224368995769709e+01 2.465881700126854037e-02 4.931763400225011651e+01
8.400000000000000000e+01 3.978087581473093604e+00 4.181138530706138834e-01 2.255063224678104206e+01 2.259873500804739166e+01 4.810276126634982319e+01 2.401702370429464189e-02 4.803404740856900901e+01
8.639999999999999147e+01 3.992106913713086680e+00 2.511620781172541061e-01 2.168273306126879163e+01 2.172891051296105402e+01 4.617745169226139268e+01 2.305256158147275108e-02 4.610512316298442670e+01
8.879999999999999716e+01 3.999122733899382443e+00 8.376967953342820405e-02 2.109447082733984047e+01 2.113814535965157049e+01 4.367453231172990513e+01 2.180152390374856183e-02 4.360304780751805964e+01
9.120000000000000284e+01 3.999122733899382443e+00 -8.376967953342770445e-02 2.109447082733979784e+01 2.113814535965211050e+01 4.367453231231277755e+01 2.180152390374878041e-02 4.360304780729948249e+01
9.359999999999999432e+01 3.992106913713086680e+00 -2.511620781172527184e-01 2.168273306126869571e+01 2.172891051296112153e+01 4.617745169242792969e+01 2.305256158147226536e-02 4.610512316289769075e+01
9.600000000000000000e+01 3.978087581473093604e+00 -4.181138530706142720e-01 2.255063224678098521e+01 2.259873500804728153e+01 4.810276126629431559e+01 2.401702370429405556e-02 4.803404740862104916e+01
9.839999999999999147e+01 3.957089331851953329e+00 -5.843321142496461507e-01 2.353189776010477985e+01 2.358128000379462819e+01 4.938224368984667478e+01 2.465881700126809628e-02 4.931763400263522357e+01
1.007999999999999972e+02 3.929149002914754885e+00 -7.495252583428984039e-01 2.455641324202434461e+01 2.460666874397127302e+01 5.025550194692751660e+01 2.509736190176865139e-02 5.019472380366971009e+01
1.032000000000000028e+02 3.894315611492641160e+00 -9.134034804426232057e-01 2.558807566660620125e+01 2.563892658108909828e+01 5.085091448289724525e+01 2.539683347847321998e-02 5.079366695691020794e+01
1.055999999999999943e+02 3.852650267190632860e+00 -1.075679282461062369e+00 2.660493191129507906e+01 2.665616773352349966e+01 5.123582222842093614e+01 2.559092871293397464e-02 5.118185742587766640e+01
1.080000000000000000e+02 3.804226065180614569e+00 -1.236067977499789361e+00 2.759213044109770507e+01 2.764357903508262027e+01 5.144859398491241365e+01 2.569885699528763612e-02 5.139771399057316614e+01
1.103999999999999915e+02 3.749127957967566704e+00 -1.394288189287260060e+00 2.853890450184308492e+01 2.859041720955783461e+01 5.151270771475147114e+01 2.573237691623260839e-02 5.146475383255300073e+01
1.127999999999999972e+02 3.687452606354002516e+00 -1.550062345808411512e+00 2.943708598555947020e+01 2.948852926969935950e+01 5.144328413989040882e+01 2.569906399208188655e-02 5.139812798367685076e+01
1.151999999999999886e+02 3.619308209864078751e+00 -1.703117166260289528e+00 3.028029635562341682e+01 3.033154675186612437e+01 5.125039624270799266e+01 2.560396659295238742e-02 5.120793318601560173e+01
1.175999999999999943e+02 3.544814316924859821e+00 -1.853184140479446018e+00 3.106347305745640952e+01 3.111441393816464895e+01 5.094088070824176384e+01 2.545051255704068940e-02 5.090102511404875685e+01
1.200000000000000000e+02 3.464101615137755275e+00 -1.999999999999999334e+00 3.178257715322031629e+01 3.183309654748538264e+01 5.051939426506390873e+01 2.524103798878405552e-02 5.048207597724285733e+01
1.223999999999999915e+02 3.377311702008061189e+00 -2.143307179915985738e+00 3.243440580364821813e+01 3.248439486588404179e+01 4.998906223582788755e+01 2.497711197749544892e-02 4.995422395528276382e+01
1.247999999999999972e+02 3.284596836534816600e+00 -2.282854270737726399e+00 3.301646900444445265e+01 3.306582089833491267e+01 4.935189389046468023e+01 2.465974458989505375e-02 4.931948917954315448e+01
1.271999999999999886e+02 3.186119672096785482e+00 -2.418396459449499325e+00 3.352690779575813451e+01 3.357551685361789851e+01 4.860905785976365934e+01 2.428952480891638163e-02 4.857904961780984365e+01
1.295999999999999943e+02 3.082052971103157013e+00 -2.549695958994758982e+00 3.396444064351042158e+01 3.401220171351793198e+01 4.776107000750706533e+01 2.386671464569063705e-02 4.773342929154794945e+01
1.320000000000000000e+02 2.972579301909577421e+00 -2.676522425435432950e+00 3.432833005078414601e+01 3.437513797524216841e+01 4.680792445801995427e+01 2.339131479002313010e-02 4.678262957986956394e+01
1.344000000000000057e+02 2.857890718531213015e+00 -2.798653362053462601e+00 3.461836467567943032e+01 3.466411386205972889e+01 4.574918638029779316e+01 2.286311111499125109e-02 4.572622222975830653e+01
1.367999999999999829e+02 2.738188423714755348e+00 -2.915874509685645322e+00 3.483485430369387359e+01 3.487943836182675028e+01 4.458405813287380681e+01 2.228170784711898042e-02 4.456341569462202301e+01
1.391999999999999886e+02 2.613682415960422833e+00 -3.027980222607025151e+00 3.497863648205186138e+01 3.502194790825796389e+01 4.331142620610239646e+01 2.164655112920430002e-02 4.329310225861110695e+01
1.415999999999999943e+02 2.484591121113242096e+00 -3.134773829303359349e+00 3.505109478113212162e+01 3.509302467506869760e+01 4.192989393657364872e+01 2.095694547260348872e-02 4.191389094532205206e+01
1.440000000000000000e+02 2.351141009169892993e+00 -3.236067977499789805e+00 3.505418970520400279e+01 3.509462750890231320e+01 4.043780369830663091e+01 2.021206496170171313e-02 4.042412992283361461e+01
1.464000000000000057e+02 2.213566196973376421e+00 -3.331684962840398168e+00 3.499050438024650589e+01 3.502933763235720477e+01 3.883325211069544025e+01 1.941096099658192256e-02 3.882192199319845116e+01
1.487999999999999829e+02 2.072108037492522481e+00 -3.421457040642025937e+00 3.486330842658220774e+01 3.490042252972484960e+01 3.711410314263807919e+01 1.855256903722455469e-02 3.710513807514415419e+01
1.511999999999999886e+02 1.927014696406862404e+00 -3.505226720175453892e+00 3.467664498752883162e+01 3.471192299549232274e+01 3.527800796349067980e+01 1.763571881643057754e-02 3.527143763280143673e+01
1.535999999999999943e+02 1.778540716739711147e+00 -3.582847040957650719e+00 3.443544779978238779e+01 3.446877024936166833e+01 3.332244957927888152e+01 1.665915711056355220e-02 3.331831422113268104e+01
1.560000000000000000e+02 1.626946572303201721e+00 -3.654181830570403466e+00 3.414569739267872706e+01 3.417694224286096727e+01 3.124485018224376631e+01 1.562160215976594185e-02 3.124320431977661983e+01
1.584000000000000057e+02 1.472498210738711011e+00 -3.719105943553005833e+00 3.381462755804481901e+01 3.384367037939407652e+01 2.904282134925939474e+01 1.452187003413479144e-02 2.904374006840182432e+01
1.607999999999999829e+02 1.315466586954333605e+00 -3.777505480949923999e+00 3.345099377310894795e+01 3.347770849915160341e+01 2.671472604265368034e+01 1.335915784238292034e-02 2.671831568432092752e+01
