# E  alpha(eV.A)  gap_meV_2nd
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.999999999999999556e-01 1.931119900101655341e-03 3.862239800203441487e+00
1.399999999999999911e+00 2.937230923486650307e-03 5.874461846973321855e+00
2.099999999999999645e+00 3.619933329654794439e-03 7.239866659311186226e+00
2.799999999999999822e+00 4.123206926074210292e-03 8.246413852150414669e+00
3.499999999999999556e+00 4.510872669770937468e-03 9.021745339544972708e+00
4.199999999999999289e+00 4.817717702092946287e-03 9.635435404171943219e+00
4.899999999999999467e+00 5.065005393592190985e-03 1.013001078718767189e+01
5.599999999999999645e+00 5.266743277936534844e-03 1.053348655587205229e+01
6.299999999999998934e+00 5.432664122550165571e-03 1.086532824509656159e+01
7.000000000000000000e+00 5.569807035293432643e-03 1.113961407059327335e+01
