# theta_deg  Ey_V_per_um  Ez_V_per_um  GS1_meV  GS2_meV  numerical_gap_microeV  alpha_eV_A  perturbative_gap_k1_microeV  
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e+00 4.213875384963984772e+01 4.214763415453956696e+01 8.880304899719359213e+00 4.460777887953975944e-03 8.921555775906476526e+00
2.399999999999999911e+00 2.093782686459981224e-01 4.995614150494292360e+00 4.223645675208349815e+01 4.224647044278415819e+01 1.001369070065955036e+01 5.025082957203842390e-03 1.005016591448804064e+01
4.799999999999999822e+00 4.183892166615774122e-01 4.982464296247521851e+00 4.251627922007345006e+01 4.252901072642433178e+01 1.273150635087982963e+01 6.379895011308605104e-03 1.275979002260396733e+01
7.199999999999999289e+00 6.266661678215210696e-01 4.960573506572389491e+00 4.294407928437315292e+01 4.296014908884980343e+01 1.606980447665246103e+01 8.045696650398899419e-03 1.609139330135261758e+01
9.599999999999999645e+00 8.338437335805112260e-01 4.929980185352524913e+00 4.347735756994087808e+01 4.349688837709810940e+01 1.953080715722671457e+01 9.773651085217670981e-03 1.954730217034600415e+01
1.200000000000000000e+01 1.039558454088796768e+00 4.890738003669028444e+00 4.407547374258031425e+01 4.409838893932517578e+01 2.291519674486180946e+01 1.146378484828140636e-02 2.292756969666382005e+01
1.439999999999999858e+01 1.243449435824273586e+00 4.842915805643155380e+00 4.470410075095602309e+01 4.473025077654461512e+01 2.615002558858936510e+01 1.307941348674044289e-02 2.615882697371701937e+01
1.680000000000000071e+01 1.445158984722358042e+00 4.786597487660336547e+00 4.533575893161954440e+01 4.536497140951635743e+01 2.921247789681308404e+01 1.460901466158173213e-02 2.921802932266681552e+01
1.919999999999999929e+01 1.644333233692916174e+00 4.721881851187405665e+00 4.594880385789633692e+01 4.598090286446687713e+01 3.209900657054343043e+01 1.605075384945092026e-02 3.210150769863279407e+01
2.159999999999999787e+01 1.840622763423389596e+00 4.648882429441257180e+00 4.652614873844527921e+01 4.656096177455430762e+01 3.481303610902708101e+01 1.740630969663385652e-02 3.481261939256713589e+01
