# E  alpha(eV.A)  gap_meV
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.999999999999999556e-01 1.025412341558484038e-03 2.050824683097820955e+00
1.399999999999999911e+00 8.407815132412023310e-04 1.681563026479726997e+00
2.099999999999999645e+00 -2.069702498721187427e-04 4.139404997400425446e-01
2.799999999999999822e+00 -1.794929053524621163e-03 3.589858107078472305e+00
3.499999999999999556e+00 -3.749354455553481104e-03 7.498708911157087265e+00
4.199999999999999289e+00 -5.961719689014367135e-03 1.192343937795464726e+01
4.899999999999999467e+00 -8.357263167480725660e-03 1.671452633496273066e+01
5.599999999999999645e+00 -1.088186209619648737e-02 2.176372419214478526e+01
6.299999999999998934e+00 -1.349515466658130110e-02 2.699030933325102666e+01
7.000000000000000000e+00 -1.616641635394365159e-02 3.233283270752396277e+01
