Ef (V/um) | GS1 (meV) | GS2 (meV) | Gap (micro-eV)
0.000000000000000000e+00 -4.597819939835240177e+00 -4.597819939834852043e+00 3.881339694089547265e-10
6.999999999999999556e-01 -9.920114168295440793e-01 -9.900859967166275588e-01 1.925420112916520488e+00
1.399999999999999911e+00 4.977826808262197922e+00 4.980695957136640928e+00 2.869148874443006036e+00
2.099999999999999645e+00 1.167841263372514149e+01 1.168189554070127301e+01 3.482906976131516785e+00
2.799999999999999822e+00 1.879062113308213711e+01 1.879453945861771302e+01 3.918325535575917229e+00
3.499999999999999556e+00 2.618125998250847530e+01 2.618550137902483854e+01 4.241396516363238334e+00
4.199999999999999289e+00 3.377845038129413524e+01 3.378293792910755400e+01 4.487547813418757414e+00
4.899999999999999467e+00 4.153777401741682951e+01 4.154245215017686377e+01 4.678132760034259263e+00
5.599999999999999645e+00 4.942933359201391852e+01 4.943416062131087330e+01 4.827029296954776783e+00
6.299999999999998934e+00 5.743177692634012743e+01 5.743672067867457542e+01 4.943752334447992780e+00
7.000000000000000000e+00 6.552917356122686954e+01 6.553420865322951272e+01 5.035092002643182241e+00
