# E  alpha(eV.A)  gap_meV_2nd
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.999999999999999556e-01 1.352920205733656967e-03 2.705840411467395956e+00
1.399999999999999911e+00 2.038325065556637929e-03 4.076650131112566022e+00
2.099999999999999645e+00 2.493767647496239383e-03 4.987535294993794110e+00
2.799999999999999822e+00 2.822876107723566817e-03 5.645752215444749034e+00
3.499999999999999556e+00 3.071268628775209678e-03 6.142537257551595076e+00
4.199999999999999289e+00 3.263672593877971553e-03 6.527345187759547862e+00
4.899999999999999467e+00 3.415127345007899860e-03 6.830254690011472007e+00
5.599999999999999645e+00 3.535494295064222758e-03 7.070988590117400108e+00
6.299999999999998934e+00 3.631594962761267986e-03 7.263189925527102631e+00
7.000000000000000000e+00 3.708341610380284058e-03 7.416683220767827933e+00
