# E  alpha(eV.A)  gap_meV
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.999999999999999556e-01 3.601044096862373017e-03 7.202088193699728969e+00
1.399999999999999911e+00 5.947328331265604347e-03 1.189465666252928955e+01
2.099999999999999645e+00 7.257428470415771236e-03 1.451485694080496813e+01
2.799999999999999822e+00 7.824265772959821535e-03 1.564853154596874951e+01
3.499999999999999556e+00 7.820701263447677951e-03 1.564140252707096934e+01
4.199999999999999289e+00 7.362763907301572014e-03 1.472552781464978011e+01
4.899999999999999467e+00 6.535895699185155852e-03 1.307179139841199778e+01
5.599999999999999645e+00 5.405722765380749188e-03 1.081144553077145787e+01
6.299999999999998934e+00 4.023805402147247016e-03 8.047610804071126722e+00
7.000000000000000000e+00 2.431287448820429464e-03 4.862574898144290003e+00
