Ef (V/um) | GS1 (meV) | GS2 (meV) | Gap (micro-eV)
0.000000000000000000e+00 -4.772444326036795914e+00 -4.772444326036684004e+00 1.119104808822157793e-10
6.999999999999999556e-01 -3.273066170296115462e+00 -3.265847407390942703e+00 7.218762905172759758e+00
1.399999999999999911e+00 4.549975794281430064e-01 4.669235135350557897e-01 1.192593410691278422e+01
2.099999999999999645e+00 5.418163270211106664e+00 5.432722440675663123e+00 1.455917046455645902e+01
2.799999999999999822e+00 1.111978638213614801e+01 1.113549096203127142e+01 1.570457989512341612e+01
3.499999999999999556e+00 1.732009835481468230e+01 1.733580642320431409e+01 1.570806838963179075e+01
4.199999999999999289e+00 2.388654980016745455e+01 2.390135166303518233e+01 1.480186286772777748e+01
4.899999999999999467e+00 3.073704282483012662e+01 3.075019981581819550e+01 1.315699098806888401e+01
5.599999999999999645e+00 3.781647013620892750e+01 3.782737495671403138e+01 1.090482050510388490e+01
6.299999999999998934e+00 4.508564798249091865e+01 4.509379654475985433e+01 8.148562268935677366e+00
7.000000000000000000e+00 5.251549448625030436e+01 5.252046506006237792e+01 4.970573812073553199e+00
