# size(nm)  g_vb   gap_vb(eV)   gap_vb1(eV)   gap_vb2(eV) 
2.000000000000000000e+01 4.995035349934673907e-01 2.887130432262241531e-07 1.239621918412703305e-07 4.562213192331465716e-07 1.156000000002155303e-06 2.000000000003729017e+00
2.419999999999999929e+01 3.915644918702351762e-01 2.263242763009959413e-07 7.578350393055988121e-08 3.602278638020761647e-07 1.155999999946644152e-06 1.999999999907688730e+00
2.839999999999999858e+01 3.114181363869059638e-01 1.799996828316316466e-07 4.589368426261009049e-08 2.868443194341957492e-07 1.156000000002155303e-06 2.000000000003729017e+00
3.260000000000000142e+01 2.513948442439376540e-01 1.453062199729959758e-07 2.754083113475080946e-08 2.305623909432119589e-07 1.156000000002155303e-06 2.000000000003729017e+00
3.679999999999999716e+01 2.058838666701632847e-01 1.190008749353543838e-07 1.627001714431253188e-08 1.873872943376764244e-07 1.156000000002155303e-06 2.000000000003729017e+00
4.100000000000000000e+01 1.708743019439363242e-01 9.876534652359519884e-08 9.319432400269056505e-09 1.541272842651986164e-07 1.156000000002155303e-06 2.000000000003729017e+00
4.520000000000000284e+01 1.435383876761331112e-01 8.296518807680494656e-08 5.016348324574093631e-09 1.283048345302947868e-07 1.155999999946644152e-06 1.999999999907688730e+00
4.939999999999999858e+01 1.218838841016906538e-01 7.044888501077720133e-08 2.350946952302951365e-09 1.080550966784873945e-07 1.155999999946644152e-06 1.999999999907688730e+00
5.360000000000000142e+01 1.044967298102621178e-01 6.039910983033150438e-08 7.094565742174485656e-10 9.199853134031835133e-08 1.156000000002155303e-06 2.000000000003729017e+00
5.779999999999999716e+01 9.036152827250930331e-02 5.222896334151037878e-08 2.854737171480159486e-10 7.912116913727507139e-08 1.156000000002155303e-06 2.000000000003729017e+00
6.210000000000000142e+01 7.848840902112874662e-02 4.536630041421241266e-08 8.791412936179354709e-10 6.845334009006331932e-08 1.156000000002155303e-06 2.000000000003729017e+00
6.629999999999999716e+01 6.887519737278176291e-02 3.980986408146786060e-08 1.194544387234444671e-09 5.993069859388383547e-08 1.156000000002155303e-06 2.000000000003729017e+00
7.050000000000000000e+01 6.081314263346415672e-02 3.514999644214228391e-08 1.343466031131224092e-09 5.287081799188603215e-08 1.156000000002155303e-06 2.000000000003729017e+00
7.470000000000000284e+01 5.399484484745688262e-02 3.120902032183008046e-08 1.386531052298412003e-09 4.696684599613323852e-08 1.156000000002155303e-06 2.000000000003729017e+00
7.890000000000000568e+01 4.818423203232739122e-02 2.785048611468523422e-08 1.363247982815590786e-09 4.198571646450190153e-08 1.156000000002155303e-06 2.000000000003729017e+00
8.309999999999999432e+01 4.319786959010413208e-02 2.496836862308018934e-08 1.299523942881880556e-09 3.774861642301570452e-08 1.156000000002155303e-06 2.000000000003729017e+00
8.729999999999999716e+01 3.889165318571824459e-02 2.247937554134514515e-08 1.212402312442475982e-09 3.411698081641142966e-08 1.468252769508127109e-04 2.540229705031361789e+02
9.150000000000000000e+01 3.515121484437614546e-02 2.031740218004941118e-08 1.113090852128406638e-09 3.098238426707186632e-08 1.156000000002155303e-06 2.000000000003729017e+00
9.570000000000000284e+01 3.188492124295840696e-02 1.842948447842995829e-08 1.008922269189228837e-09 2.825918745405844867e-08 1.156000000002155303e-06 2.000000000003729017e+00
1.000000000000000000e+02 2.895481692588271205e-02 1.673588418316020870e-08 9.021817181124533458e-10 2.582618156290149292e-08 1.156000000002155303e-06 2.000000000003729017e+00
