# kx  valence1  valence2  conduction1  conduction2  band_gap
-2.800000000000e-03 1.801509515301e-02 1.857250050421e-02 2.783929704100e-01 2.783929704100e-01 2.598204699058e-01
-2.566666666667e-03 1.809161010381e-02 1.860737342880e-02 2.783475829106e-01 2.783475829106e-01 2.597402094818e-01
-2.333333333333e-03 1.816428299257e-02 1.863703281408e-02 2.783061420772e-01 2.783061420772e-01 2.596691092631e-01
-2.100000000000e-03 1.823293730362e-02 1.866147760810e-02 2.782686479298e-01 2.782686479298e-01 2.596071703217e-01
-1.866666666667e-03 1.829741187202e-02 1.868070966958e-02 2.782351004864e-01 2.782351004864e-01 2.595543908168e-01
-1.633333333333e-03 1.835756129590e-02 1.869473398622e-02 2.782054997632e-01 2.782054997632e-01 2.595107657770e-01
-1.400000000000e-03 1.841325562153e-02 1.870355892503e-02 2.781798457743e-01 2.781798457743e-01 2.594762868493e-01
-1.166666666667e-03 1.846437956602e-02 1.870719652008e-02 2.781581385321e-01 2.781581385321e-01 2.594509420120e-01
-9.333333333333e-04 1.851083148012e-02 1.870566280375e-02 2.781403780469e-01 2.781403780469e-01 2.594347152432e-01
-7.000000000000e-04 1.855252219595e-02 1.869897818809e-02 2.781265643274e-01 2.781265643274e-01 2.594275861393e-01
-4.666666666667e-04 1.858937385690e-02 1.868716790423e-02 2.781166973802e-01 2.781166973802e-01 2.594295294760e-01
-2.333333333333e-04 1.862131879060e-02 1.867026250785e-02 2.781107772099e-01 2.781107772099e-01 2.594405147021e-01
0.000000000000e+00 1.864829845980e-02 1.864829845980e-02 2.781088038195e-01 2.781088038195e-01 2.594605053597e-01
2.333333333333e-04 1.862131879060e-02 1.867026250785e-02 2.781107772099e-01 2.781107772099e-01 2.594405147021e-01
4.666666666667e-04 1.858937385690e-02 1.868716790423e-02 2.781166973802e-01 2.781166973802e-01 2.594295294760e-01
7.000000000000e-04 1.855252219595e-02 1.869897818809e-02 2.781265643274e-01 2.781265643274e-01 2.594275861393e-01
9.333333333333e-04 1.851083148012e-02 1.870566280375e-02 2.781403780469e-01 2.781403780469e-01 2.594347152432e-01
1.166666666667e-03 1.846437956602e-02 1.870719652008e-02 2.781581385321e-01 2.781581385321e-01 2.594509420120e-01
1.400000000000e-03 1.841325562153e-02 1.870355892503e-02 2.781798457743e-01 2.781798457743e-01 2.594762868493e-01
1.633333333333e-03 1.835756129590e-02 1.869473398622e-02 2.782054997632e-01 2.782054997632e-01 2.595107657770e-01
1.866666666667e-03 1.829741187202e-02 1.868070966958e-02 2.782351004864e-01 2.782351004864e-01 2.595543908168e-01
2.100000000000e-03 1.823293730362e-02 1.866147760810e-02 2.782686479298e-01 2.782686479298e-01 2.596071703217e-01
2.333333333333e-03 1.816428299258e-02 1.863703281408e-02 2.783061420772e-01 2.783061420772e-01 2.596691092631e-01
2.566666666667e-03 1.809161010381e-02 1.860737342880e-02 2.783475829106e-01 2.783475829106e-01 2.597402094818e-01
2.800000000000e-03 1.801509515301e-02 1.857250050421e-02 2.783929704100e-01 2.783929704100e-01 2.598204699058e-01
