# kx  valence1  valence2  conduction1  conduction2  band_gap
-2.800000000000e-03 3.789696096470e-02 3.844716885480e-02 2.598959695053e-01 2.598959695053e-01 2.214488006505e-01
-2.566666666667e-03 3.795965345646e-02 3.847475287029e-02 2.598505820058e-01 2.598505820058e-01 2.213758291355e-01
-2.333333333333e-03 3.802003324623e-02 3.849739093290e-02 2.598091411724e-01 2.598091411724e-01 2.213117502395e-01
-2.100000000000e-03 3.807798156504e-02 3.851511030261e-02 2.597716470250e-01 2.597716470250e-01 2.212565367224e-01
-1.866666666667e-03 3.813335050426e-02 3.852794472701e-02 2.597380995817e-01 2.597380995817e-01 2.212101548547e-01
-1.633333333333e-03 3.818596986564e-02 3.853593511475e-02 2.597084988584e-01 2.597084988584e-01 2.211725637437e-01
-1.400000000000e-03 3.823565462404e-02 3.853913028031e-02 2.596828448695e-01 2.596828448695e-01 2.211437145892e-01
-1.166666666667e-03 3.828221221728e-02 3.853758775819e-02 2.596611376273e-01 2.596611376273e-01 2.211235498691e-01
-9.333333333333e-04 3.832544906075e-02 3.853137467871e-02 2.596433771422e-01 2.596433771422e-01 2.211120024635e-01
-7.000000000000e-04 3.836517592065e-02 3.852056868917e-02 2.596295634227e-01 2.596295634227e-01 2.211089947335e-01
-4.666666666667e-04 3.840121200673e-02 3.850525889184e-02 2.596196964754e-01 2.596196964754e-01 2.211144375836e-01
-2.333333333333e-04 3.843338782165e-02 3.848554675310e-02 2.596137763052e-01 2.596137763052e-01 2.211282295521e-01
0.000000000000e+00 3.846154691620e-02 3.846154691620e-02 2.596118029148e-01 2.596118029148e-01 2.211502559986e-01
2.333333333333e-04 3.843338782165e-02 3.848554675310e-02 2.596137763052e-01 2.596137763052e-01 2.211282295521e-01
4.666666666667e-04 3.840121200673e-02 3.850525889184e-02 2.596196964754e-01 2.596196964754e-01 2.211144375836e-01
7.000000000000e-04 3.836517592065e-02 3.852056868917e-02 2.596295634227e-01 2.596295634227e-01 2.211089947335e-01
9.333333333333e-04 3.832544906075e-02 3.853137467871e-02 2.596433771422e-01 2.596433771422e-01 2.211120024635e-01
1.166666666667e-03 3.828221221728e-02 3.853758775819e-02 2.596611376273e-01 2.596611376273e-01 2.211235498691e-01
1.400000000000e-03 3.823565462404e-02 3.853913028031e-02 2.596828448695e-01 2.596828448695e-01 2.211437145892e-01
1.633333333333e-03 3.818596986564e-02 3.853593511475e-02 2.597084988584e-01 2.597084988584e-01 2.211725637437e-01
1.866666666667e-03 3.813335050426e-02 3.852794472701e-02 2.597380995817e-01 2.597380995817e-01 2.212101548547e-01
2.100000000000e-03 3.807798156504e-02 3.851511030261e-02 2.597716470250e-01 2.597716470250e-01 2.212565367224e-01
2.333333333333e-03 3.802003324624e-02 3.849739093290e-02 2.598091411724e-01 2.598091411724e-01 2.213117502395e-01
2.566666666667e-03 3.795965345646e-02 3.847475287029e-02 2.598505820058e-01 2.598505820058e-01 2.213758291355e-01
2.800000000000e-03 3.789696096470e-02 3.844716885480e-02 2.598959695053e-01 2.598959695053e-01 2.214488006505e-01
