# Ey_internal  Ey_V_per_um  fundamental_band_gap_eV
1.071428571429e-03 1.071428571429e+01 1.357301396138e-01
1.178571428571e-03 1.178571428571e+01 1.132346781200e-01
1.285714285714e-03 1.285714285714e+01 9.039700718395e-02
1.392857142857e-03 1.392857142857e+01 6.725661096637e-02
1.500000000000e-03 1.500000000000e+01 4.384585150290e-02
