-2.00000000e-02 -4.15122218e-02 -4.15122218e-02 -4.13281114e-02 -4.13281114e-02 -4.02365113e-02 -4.02365113e-02 -3.47583182e-02 -3.47583182e-02 -3.34195464e-02 -3.34195464e-02 -3.12461248e-02 -3.12461248e-02 -2.94378998e-02 -2.94378998e-02 -2.88770114e-02 -2.88770114e-02 -2.72850449e-02 -2.72850449e-02 -2.31182185e-02 -2.31182185e-02 -2.07238668e-02 -2.07238668e-02 -1.97032536e-02 -1.97032536e-02
-1.92000000e-02 -4.08149709e-02 -4.08149709e-02 -4.05832699e-02 -4.05832699e-02 -3.95923558e-02 -3.95923558e-02 -3.40443196e-02 -3.40443196e-02 -3.27357477e-02 -3.27357477e-02 -3.04616536e-02 -3.04616536e-02 -2.85883474e-02 -2.85883474e-02 -2.79719074e-02 -2.79719074e-02 -2.65152733e-02 -2.65152733e-02 -2.22548710e-02 -2.22548710e-02 -1.97690513e-02 -1.97690513e-02 -1.86727595e-02 -1.86727595e-02
-1.84000000e-02 -4.01240119e-02 -4.01240119e-02 -3.98560450e-02 -3.98560450e-02 -3.89693649e-02 -3.89693649e-02 -3.33527113e-02 -3.33527113e-02 -3.20749301e-02 -3.20749301e-02 -2.96994445e-02 -2.96994445e-02 -2.77599046e-02 -2.77599046e-02 -2.70869264e-02 -2.70869264e-02 -2.57695343e-02 -2.57695343e-02 -2.14158156e-02 -2.14158156e-02 -1.88378866e-02 -1.88378866e-02 -1.76654121e-02 -1.76654121e-02
-1.76000000e-02 -3.94500964e-02 -3.94500964e-02 -3.91477786e-02 -3.91477786e-02 -3.83680771e-02 -3.83680771e-02 -3.26842665e-02 -3.26842665e-02 -3.14376445e-02 -3.14376445e-02 -2.89605397e-02 -2.89605397e-02 -2.69539767e-02 -2.69539767e-02 -2.62238016e-02 -2.62238016e-02 -2.50486522e-02 -2.50486522e-02 -2.06022301e-02 -2.06022301e-02 -1.79319848e-02 -1.79319848e-02 -1.66831830e-02 -1.66831830e-02
-1.68000000e-02 -3.87962514e-02 -3.87962514e-02 -3.84598158e-02 -3.84598158e-02 -3.77890089e-02 -3.77890089e-02 -3.20397429e-02 -3.20397429e-02 -3.08244269e-02 -3.08244269e-02 -2.82459720e-02 -2.82459720e-02 -2.61719704e-02 -2.61719704e-02 -2.53842727e-02 -2.53842727e-02 -2.43534346e-02 -2.43534346e-02 -1.98152804e-02 -1.98152804e-02 -1.70529527e-02 -1.70529527e-02 -1.57280424e-02 -1.57280424e-02
-1.60000000e-02 -3.81641628e-02 -3.81641628e-02 -3.77935009e-02 -3.77935009e-02 -3.72326485e-02 -3.72326485e-02 -3.14198801e-02 -3.14198801e-02 -3.02357981e-02 -3.02357981e-02 -2.75567615e-02 -2.75567615e-02 -2.54152860e-02 -2.54152860e-02 -2.45700757e-02 -2.45700757e-02 -2.36846694e-02 -2.36846694e-02 -1.90561165e-02 -1.90561165e-02 -1.62023839e-02 -1.62023839e-02 -1.48019480e-02 -1.48019480e-02
-1.52000000e-02 -3.75551770e-02 -3.75551770e-02 -3.71501754e-02 -3.71501754e-02 -3.66994453e-02 -3.66994453e-02 -3.08253977e-02 -3.08253977e-02 -2.96722634e-02 -2.96722634e-02 -2.68939121e-02 -2.68939121e-02 -2.46853101e-02 -2.46853101e-02 -2.37829338e-02 -2.37829338e-02 -2.30431231e-02 -2.30431231e-02 -1.83258679e-02 -1.83258679e-02 -1.53818509e-02 -1.53818509e-02 -1.39068361e-02 -1.39068361e-02
-1.44000000e-02 -3.69705227e-02 -3.69705227e-02 -3.65311880e-02 -3.65311880e-02 -3.61897871e-02 -3.61897871e-02 -3.02569933e-02 -3.02569933e-02 -2.91343120e-02 -2.91343120e-02 -2.62584072e-02 -2.62584072e-02 -2.39834088e-02 -2.39834088e-02 -2.30245494e-02 -2.30245494e-02 -2.24295363e-02 -2.24295363e-02 -1.76256396e-02 -1.76256396e-02 -1.45928987e-02 -1.45928987e-02 -1.30446116e-02 -1.30446116e-02
-1.36000000e-02 -3.64113791e-02 -3.64113791e-02 -3.59379503e-02 -3.59379503e-02 -3.57039294e-02 -3.57039294e-02 -2.97153399e-02 -2.97153399e-02 -2.86224169e-02 -2.86224169e-02 -2.56512066e-02 -2.56512066e-02 -2.33109203e-02 -2.33109203e-02 -2.22966003e-02 -2.22966003e-02 -2.18446174e-02 -2.18446174e-02 -1.69565077e-02 -1.69565077e-02 -1.38370366e-02 -1.38370366e-02 -1.22171386e-02 -1.22171386e-02
-1.28000000e-02 -3.58789034e-02 -3.58789034e-02 -3.53722850e-02 -3.53722850e-02 -3.52416324e-02 -3.52416324e-02 -2.92010839e-02 -2.92010839e-02 -2.81370343e-02 -2.81370343e-02 -2.50732418e-02 -2.50732418e-02 -2.26691484e-02 -2.26691484e-02 -2.16007495e-02 -2.16007495e-02 -2.12890216e-02 -2.12890216e-02 -1.63195158e-02 -1.63195158e-02 -1.31157325e-02 -1.31157325e-02 -1.14262323e-02 -1.14262323e-02
