L Ef kx gap_2nd_microeV gap_4th_microeV
6.000000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 8.673617379884035472e-13 8.673617379884035472e-13
6.000000000000000000e+02 0.000000000000000000e+00 4.040404040404040536e-05 8.673617379884035472e-13 8.673617379884035472e-13
6.000000000000000000e+02 0.000000000000000000e+00 8.080808080808081072e-05 8.673617379884035472e-13 8.673617379884035472e-13
6.000000000000000000e+02 0.000000000000000000e+00 1.212121212121212229e-04 8.673617379884035472e-13 8.673617379884035472e-13
6.000000000000000000e+02 0.000000000000000000e+00 1.616161616161616214e-04 8.673617379884035472e-13 8.673617379884035472e-13
6.000000000000000000e+02 0.000000000000000000e+00 2.020202020202020200e-04 8.673617379884035472e-13 8.673617379884035472e-13
6.000000000000000000e+02 0.000000000000000000e+00 2.424242424242424457e-04 8.673617379884035472e-13 8.673617379884035472e-13
6.000000000000000000e+02 0.000000000000000000e+00 2.828282828282828172e-04 8.673617379884035472e-13 8.673617379884035472e-13
6.000000000000000000e+02 0.000000000000000000e+00 3.232323232323232429e-04 8.673617379884035472e-13 8.673617379884035472e-13
6.000000000000000000e+02 0.000000000000000000e+00 3.636363636363636686e-04 8.673617379884035472e-13 8.673617379884035472e-13
6.000000000000000000e+02 0.000000000000000000e+00 4.040404040404040401e-04 8.673617379884035472e-13 8.673617379884035472e-13
6.000000000000000000e+02 0.000000000000000000e+00 4.444444444444444657e-04 8.673617379884035472e-13 8.673617379884035472e-13
6.000000000000000000e+02 0.000000000000000000e+00 4.848484848484848914e-04 8.673617379884035472e-13 8.673617379884035472e-13
6.000000000000000000e+02 0.000000000000000000e+00 5.252525252525253171e-04 8.673617379884035472e-13 8.673617379884035472e-13
6.000000000000000000e+02 0.000000000000000000e+00 5.656565656565656344e-04 8.673617379884035472e-13 8.673617379884035472e-13
6.000000000000000000e+02 0.000000000000000000e+00 6.060606060606060601e-04 8.673617379884035472e-13 8.673617379884035472e-13
6.000000000000000000e+02 0.000000000000000000e+00 6.464646464646464858e-04 8.673617379884035472e-13 8.673617379884035472e-13
