# kx  valence1  valence2  conduction1  conduction2  band_gap
-2.800000000000e-03 8.246756934181e-02 8.290853446529e-02 2.189812449806e-01 2.189812449806e-01 1.360727105153e-01
-2.566666666667e-03 8.251343893866e-02 8.292878385725e-02 2.189358574811e-01 2.189358574811e-01 1.360070736239e-01
-2.333333333333e-03 8.255727020938e-02 8.294465118288e-02 2.188944166478e-01 2.188944166478e-01 1.359497654649e-01
-2.100000000000e-03 8.259915598359e-02 8.295622785927e-02 2.188569225004e-01 2.188569225004e-01 1.359006946411e-01
-1.866666666667e-03 8.263916424647e-02 8.296361793685e-02 2.188233750570e-01 2.188233750570e-01 1.358597571202e-01
-1.633333333333e-03 8.267733294775e-02 8.296693877633e-02 2.187937743338e-01 2.187937743338e-01 1.358268355574e-01
-1.400000000000e-03 8.271366602572e-02 8.296632151491e-02 2.187681203449e-01 2.187681203449e-01 1.358017988300e-01
-1.166666666667e-03 8.274813116332e-02 8.296191121006e-02 2.187464131026e-01 2.187464131026e-01 1.357845018926e-01
-9.333333333333e-04 8.278065961543e-02 8.295386652462e-02 2.187286526175e-01 2.187286526175e-01 1.357747860929e-01
-7.000000000000e-04 8.281114818896e-02 8.294235879824e-02 2.187148388980e-01 2.187148388980e-01 1.357724800998e-01
-4.666666666667e-04 8.283946317487e-02 8.292757034222e-02 2.187049719508e-01 2.187049719508e-01 1.357774016085e-01
-2.333333333333e-04 8.286544578881e-02 8.290969180850e-02 2.186990517805e-01 2.186990517805e-01 1.357893599720e-01
0.000000000000e+00 8.288891852706e-02 8.288891852706e-02 2.186970783901e-01 2.186970783901e-01 1.358081598631e-01
2.333333333333e-04 8.286544578881e-02 8.290969180850e-02 2.186990517805e-01 2.186990517805e-01 1.357893599720e-01
4.666666666667e-04 8.283946317487e-02 8.292757034222e-02 2.187049719508e-01 2.187049719508e-01 1.357774016085e-01
7.000000000000e-04 8.281114818896e-02 8.294235879824e-02 2.187148388980e-01 2.187148388980e-01 1.357724800998e-01
9.333333333333e-04 8.278065961543e-02 8.295386652462e-02 2.187286526175e-01 2.187286526175e-01 1.357747860929e-01
1.166666666667e-03 8.274813116332e-02 8.296191121006e-02 2.187464131026e-01 2.187464131026e-01 1.357845018926e-01
1.400000000000e-03 8.271366602572e-02 8.296632151491e-02 2.187681203449e-01 2.187681203449e-01 1.358017988300e-01
1.633333333333e-03 8.267733294775e-02 8.296693877633e-02 2.187937743338e-01 2.187937743338e-01 1.358268355574e-01
1.866666666667e-03 8.263916424647e-02 8.296361793685e-02 2.188233750570e-01 2.188233750570e-01 1.358597571202e-01
2.100000000000e-03 8.259915598359e-02 8.295622785927e-02 2.188569225004e-01 2.188569225004e-01 1.359006946411e-01
2.333333333333e-03 8.255727020938e-02 8.294465118288e-02 2.188944166478e-01 2.188944166478e-01 1.359497654649e-01
2.566666666667e-03 8.251343893866e-02 8.292878385725e-02 2.189358574811e-01 2.189358574811e-01 1.360070736239e-01
2.800000000000e-03 8.246756934181e-02 8.290853446529e-02 2.189812449806e-01 2.189812449806e-01 1.360727105153e-01
