# kx  valence1  valence2  conduction1  conduction2  band_gap
-2.800000000000e-03 4.558087344632e-02 4.563121781760e-02 2.459679490919e-01 2.459679490919e-01 2.003367312743e-01
-2.566666666667e-03 4.563651470087e-02 4.568291460085e-02 2.459225615925e-01 2.459225615925e-01 2.002396469916e-01
-2.333333333333e-03 4.568756206541e-02 4.572995193639e-02 2.458811207591e-01 2.458811207591e-01 2.001511688227e-01
-2.100000000000e-03 4.573400160466e-02 4.577232189688e-02 2.458436266117e-01 2.458436266117e-01 2.000713047148e-01
-1.866666666667e-03 4.577582041539e-02 4.581001757368e-02 2.458100791683e-01 2.458100791683e-01 2.000000615946e-01
-1.633333333333e-03 4.581300663055e-02 4.584303308218e-02 2.457804784451e-01 2.457804784451e-01 1.999374453629e-01
-1.400000000000e-03 4.584554942292e-02 4.587136356653e-02 2.457548244562e-01 2.457548244562e-01 1.998834608896e-01
-1.166666666667e-03 4.587343900817e-02 4.589500520403e-02 2.457331172140e-01 2.457331172140e-01 1.998381120099e-01
-9.333333333333e-04 4.589666664744e-02 4.591395520896e-02 2.457153567288e-01 2.457153567288e-01 1.998014015199e-01
-7.000000000000e-04 4.591522464943e-02 4.592821183598e-02 2.457015430093e-01 2.457015430093e-01 1.997733311733e-01
-4.666666666667e-04 4.592910637191e-02 4.593777438311e-02 2.456916760621e-01 2.456916760621e-01 1.997539016790e-01
-2.333333333333e-04 4.593830622273e-02 4.594264319409e-02 2.456857558918e-01 2.456857558918e-01 1.997431126977e-01
0.000000000000e+00 4.594281966041e-02 4.594281966041e-02 2.456837825014e-01 2.456837825014e-01 1.997409628410e-01
2.333333333333e-04 4.593830622273e-02 4.594264319409e-02 2.456857558918e-01 2.456857558918e-01 1.997431126977e-01
4.666666666667e-04 4.592910637191e-02 4.593777438311e-02 2.456916760621e-01 2.456916760621e-01 1.997539016790e-01
7.000000000000e-04 4.591522464943e-02 4.592821183598e-02 2.457015430093e-01 2.457015430093e-01 1.997733311733e-01
9.333333333333e-04 4.589666664744e-02 4.591395520896e-02 2.457153567288e-01 2.457153567288e-01 1.998014015199e-01
1.166666666667e-03 4.587343900817e-02 4.589500520403e-02 2.457331172140e-01 2.457331172140e-01 1.998381120099e-01
1.400000000000e-03 4.584554942292e-02 4.587136356653e-02 2.457548244562e-01 2.457548244562e-01 1.998834608896e-01
1.633333333333e-03 4.581300663055e-02 4.584303308218e-02 2.457804784451e-01 2.457804784451e-01 1.999374453629e-01
1.866666666667e-03 4.577582041539e-02 4.581001757368e-02 2.458100791683e-01 2.458100791683e-01 2.000000615946e-01
2.100000000000e-03 4.573400160466e-02 4.577232189688e-02 2.458436266117e-01 2.458436266117e-01 2.000713047148e-01
2.333333333333e-03 4.568756206541e-02 4.572995193639e-02 2.458811207591e-01 2.458811207591e-01 2.001511688227e-01
2.566666666667e-03 4.563651470087e-02 4.568291460085e-02 2.459225615925e-01 2.459225615925e-01 2.002396469916e-01
2.800000000000e-03 4.558087344632e-02 4.563121781760e-02 2.459679490919e-01 2.459679490919e-01 2.003367312743e-01
