kx  E  alpha(eV.A)  gap_meV_2nd
2.400000000000000332e-04 5.000000000000000000e-01 2.861452909293299950e-03 1.373497396460650277e+00
2.400000000000000332e-04 1.000000000000000000e+00 4.437916620881583209e-03 2.130199978022838003e+00
2.400000000000000332e-04 1.500000000000000222e+00 5.550767174143125988e-03 2.664368243588711938e+00
2.400000000000000332e-04 2.000000000000000000e+00 6.401006786663337653e-03 3.072483257598665585e+00
2.400000000000000332e-04 2.500000000000000000e+00 7.078797483232251476e-03 3.397822791953095223e+00
2.400000000000000332e-04 3.000000000000000444e+00 7.633942743595342750e-03 3.664292516927791787e+00
2.400000000000000332e-04 3.500000000000000000e+00 8.097259323945778936e-03 3.886684475491730684e+00
2.400000000000000332e-04 4.000000000000000000e+00 8.489280330645755657e-03 4.074854558704793739e+00
2.400000000000000332e-04 4.500000000000000000e+00 8.824426186484435330e-03 4.235724569506826853e+00
2.400000000000000332e-04 5.000000000000000000e+00 9.113233010651949906e-03 4.374351845103097602e+00
2.400000000000000332e-04 5.500000000000000000e+00 9.363640642141601508e-03 4.494547508213098119e+00
2.400000000000000332e-04 6.000000000000000888e+00 9.581783186837503768e-03 4.599255929667311449e+00
2.400000000000000332e-04 6.500000000000000888e+00 9.772497819299386795e-03 4.690798953252417469e+00
2.400000000000000332e-04 7.000000000000000000e+00 9.939665131134195822e-03 4.771039262954634985e+00
2.400000000000000332e-04 7.500000000000000000e+00 1.008644420594075053e-02 4.841493218873949012e+00
2.400000000000000332e-04 8.000000000000000000e+00 1.021543943353804378e-02 4.903410928097651222e+00
2.400000000000000332e-04 8.500000000000000000e+00 1.032882165844176484e-02 4.957834396052129833e+00
2.400000000000000332e-04 9.000000000000000000e+00 1.042841794751935523e-02 5.005640614799689025e+00
2.400000000000000332e-04 9.500000000000000000e+00 1.051577928448983387e-02 5.047574056546433319e+00
2.400000000000000332e-04 1.000000000000000000e+01 1.059223241731221780e-02 5.084271560318320837e+00
3.200000000000000262e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.200000000000000262e-04 5.000000000000000000e-01 2.861452909293325537e-03 1.831329861947533777e+00
3.200000000000000262e-04 1.000000000000000000e+00 4.437916620881617036e-03 2.840266637364280644e+00
3.200000000000000262e-04 1.500000000000000222e+00 5.550767174143026242e-03 3.552490991451037861e+00
3.200000000000000262e-04 2.000000000000000000e+00 6.401006786663302958e-03 4.096644343464308946e+00
3.200000000000000262e-04 2.500000000000000000e+00 7.078797483232266222e-03 4.530430389266745905e+00
3.200000000000000262e-04 3.000000000000000444e+00 7.633942743595517957e-03 4.885723355902565679e+00
3.200000000000000262e-04 3.500000000000000000e+00 8.097259323945730364e-03 5.182245967322307578e+00
3.200000000000000262e-04 4.000000000000000000e+00 8.489280330646602202e-03 5.433139411613330694e+00
3.200000000000000262e-04 4.500000000000000000e+00 8.824426186484130019e-03 5.647632759342435804e+00
3.200000000000000262e-04 5.000000000000000000e+00 9.113233010651977661e-03 5.832469126811067994e+00
3.200000000000000262e-04 5.500000000000000000e+00 9.363640642141511303e-03 5.992730010964675280e+00
3.200000000000000262e-04 6.000000000000000888e+00 9.581783186837312949e-03 6.132341239570293645e+00
3.200000000000000262e-04 6.500000000000000888e+00 9.772497819299213323e-03 6.254398604355060343e+00
3.200000000000000262e-04 7.000000000000000000e+00 9.939665131134178475e-03 6.361385683911757738e+00
3.200000000000000262e-04 7.500000000000000000e+00 1.008644420594065859e-02 6.455324291804176440e+00
3.200000000000000262e-04 8.000000000000000000e+00 1.021543943353799173e-02 6.537881237431153458e+00
3.200000000000000262e-04 8.500000000000000000e+00 1.032882165844168504e-02 6.610445861393587919e+00
3.200000000000000262e-04 9.000000000000000000e+00 1.042841794751950962e-02 6.674187486399585367e+00
3.200000000000000262e-04 9.500000000000000000e+00 1.051577928449000214e-02 6.730098742094292597e+00
3.200000000000000262e-04 1.000000000000000000e+01 1.059223241731219872e-02 6.779028747072590733e+00
4.000000000000000192e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000192e-04 5.000000000000000000e-01 2.861452909293333777e-03 2.289162327433983624e+00
4.000000000000000192e-04 1.000000000000000000e+00 4.437916620881531167e-03 3.550333296705181496e+00
4.000000000000000192e-04 1.500000000000000222e+00 5.550767174143152009e-03 4.440613739313363340e+00
4.000000000000000192e-04 2.000000000000000000e+00 6.401006786663202344e-03 5.120805429329952752e+00
4.000000000000000192e-04 2.500000000000000000e+00 7.078797483232055453e-03 5.663037986583866257e+00
4.000000000000000192e-04 3.000000000000000444e+00 7.633942743595381782e-03 6.107154194877340458e+00
4.000000000000000192e-04 3.500000000000000000e+00 8.097259323945872611e-03 6.477807459163292592e+00
4.000000000000000192e-04 4.000000000000000000e+00 8.489280330646484241e-03 6.791424264518397536e+00
4.000000000000000192e-04 4.500000000000000000e+00 8.824426186484327778e-03 7.059540949198861881e+00
4.000000000000000192e-04 5.000000000000000000e+00 9.113233010652081745e-03 7.290586408519040162e+00
4.000000000000000192e-04 5.500000000000000000e+00 9.363640642141551201e-03 7.490912513716252441e+00
4.000000000000000192e-04 6.000000000000000888e+00 9.581783186837345909e-03 7.665426549466336503e+00
4.000000000000000192e-04 6.500000000000000888e+00 9.772497819299348631e-03 7.817998255436886978e+00
4.000000000000000192e-04 7.000000000000000000e+00 9.939665131133935613e-03 7.951732104910513854e+00
4.000000000000000192e-04 7.500000000000000000e+00 1.008644420594070369e-02 8.069155364748281656e+00
4.000000000000000192e-04 8.000000000000000000e+00 1.021543943353810970e-02 8.172351546820166845e+00
4.000000000000000192e-04 8.500000000000000000e+00 1.032882165844172494e-02 8.263057326762801580e+00
4.000000000000000192e-04 9.000000000000000000e+00 1.042841794751958769e-02 8.342734358027236397e+00
4.000000000000000192e-04 9.500000000000000000e+00 1.051577928448971071e-02 8.412623427558884259e+00
4.000000000000000192e-04 1.000000000000000000e+01 1.059223241731227505e-02 8.473785933840737528e+00
4.800000000000000664e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.800000000000000664e-04 5.000000000000000000e-01 2.861452909293315996e-03 2.746994792922601736e+00
