# Energy    MatrixElement
-4.9664552876e-01 3.4444549900e-07
-4.9629071364e-01 4.4603239883e-30
-4.9557482485e-01 1.9336482425e-30
-4.9466751931e-01 6.2679312462e-31
-4.9449809090e-01 1.3874045997e-30
-4.9419284963e-01 1.7442694625e-07
-4.9394138400e-01 2.1968080809e-07
-4.9324509166e-01 1.7757248291e-30
-4.9249249795e-01 1.7789839024e-30
-4.9112341814e-01 3.1597982554e-30
-4.9100292089e-01 1.7165530411e-06
-4.9058929878e-01 8.1673606991e-31
-4.9046074168e-01 4.3559306910e-07
-4.8998417154e-01 1.4697366932e-30
-4.8994898177e-01 1.9313084925e-07
-4.8922896057e-01 6.5929891462e-06
-4.8812692347e-01 5.9373570169e-30
-4.8787415612e-01 8.5257017983e-06
-4.8785113503e-01 2.1061307450e-28
-4.8656723723e-01 4.5964241555e-06
-4.8620642139e-01 3.4757140206e-07
-4.8573914247e-01 5.9485655347e-07
-4.8524488425e-01 3.0021645704e-30
-4.8509872714e-01 3.9488195120e-30
-4.8490146244e-01 2.3792902789e-07
-4.8420292185e-01 1.6488950806e-30
-4.8413437257e-01 6.8186502482e-09
-4.8372766506e-01 2.4493921196e-07
-4.8340482213e-01 2.7947148225e-30
-4.8293733984e-01 7.4860456643e-07
-4.8216961549e-01 6.1864946765e-30
-4.8183146831e-01 9.7464301858e-06
-4.8106191408e-01 1.5126154899e-30
-4.8073541708e-01 7.2986144130e-10
-4.8066713635e-01 4.6002575167e-30
-4.8003664622e-01 3.0026042754e-08
-4.7886439657e-01 4.0728457803e-09
-4.7812314964e-01 1.6112506368e-07
-4.7772025249e-01 3.2910068412e-05
-4.7748536912e-01 8.0845906361e-29
-4.7744968799e-01 4.0821857137e-07
-4.7665216322e-01 1.5259853311e-29
-4.7512927651e-01 1.5670190922e-29
-4.7496157349e-01 5.6569414253e-29
-4.7488839767e-01 1.3345559650e-07
-4.7474562567e-01 1.5997984458e-28
-4.7452372486e-01 2.2585709997e-06
-4.7376011570e-01 7.4113608530e-06
-4.7345848286e-01 2.4017799534e-30
-4.7313914661e-01 2.4582454711e-28
-4.7284739175e-01 1.6624684054e-05
-4.7237373909e-01 1.2267555345e-29
-4.7137006048e-01 2.2232670352e-05
-4.7087464672e-01 4.4364207253e-29
-4.7054427738e-01 3.1949305205e-07
-4.7008462313e-01 9.1527749950e-28
