-6.276139727954457154e-03 -6.276139727954412051e-03
-6.259539961561391003e-03 -6.259539961561319879e-03
-6.243616090275751727e-03 -6.243616090275742186e-03
-6.228368319639390228e-03 -6.228368319639390228e-03
-6.213796846507364802e-03 -6.213796846507194799e-03
-6.199901859028583359e-03 -6.199901859028542593e-03
-6.186683536650901781e-03 -6.186683536650812443e-03
-6.174142050102470435e-03 -6.174142050102420995e-03
-6.162277561401054843e-03 -6.162277561401035761e-03
-6.151090223832476542e-03 -6.151090223832422765e-03
-6.140580181957295235e-03 -6.140580181957257071e-03
-6.130747571596128695e-03 -6.130747571596047163e-03
-6.121592519834160445e-03 -6.121592519834100597e-03
-6.113115145009073888e-03 -6.113115145009052204e-03
-6.105315556711834665e-03 -6.105315556711809512e-03
-6.098193855778250363e-03 -6.098193855778242557e-03
-6.091750134288518616e-03 -6.091750134288487391e-03
-6.085984475565090791e-03 -6.085984475565050025e-03
-6.080896954165119876e-03 -6.080896954165085182e-03
-6.076487635882100655e-03 -6.076487635882092848e-03
-6.072756577740275226e-03 -6.072756577740183286e-03
-6.069703827995848178e-03 -6.069703827995760574e-03
-6.067329426135303037e-03 -6.067329426135237985e-03
-6.065633402869117369e-03 -6.065633402868969917e-03
-6.064615780133426372e-03 -6.064615780133422035e-03
-6.064276571091513010e-03 -6.064276571091491326e-03
-6.064615780133456729e-03 -6.064615780133369126e-03
-6.065633402869181554e-03 -6.065633402868943896e-03
-6.067329426135279619e-03 -6.067329426135252730e-03
-6.069703827995848178e-03 -6.069703827995731951e-03
-6.072756577740230990e-03 -6.072756577740202368e-03
-6.076487635882124941e-03 -6.076487635882118002e-03
-6.080896954165171918e-03 -6.080896954165058294e-03
-6.085984475565171456e-03 -6.085984475565170589e-03
-6.091750134288535963e-03 -6.091750134288491728e-03
-6.098193855778269445e-03 -6.098193855778245159e-03
-6.105315556711876299e-03 -6.105315556711872829e-03
-6.113115145009092970e-03 -6.113115145009054806e-03
-6.121592519834156976e-03 -6.121592519834150904e-03
-6.130747571596139103e-03 -6.130747571596102674e-03
-6.140580181957329929e-03 -6.140580181957315184e-03
-6.151090223832499093e-03 -6.151090223832420163e-03
-6.162277561401099946e-03 -6.162277561401093874e-03
-6.174142050102500792e-03 -6.174142050102409719e-03
-6.186683536650818514e-03 -6.186683536650790759e-03
-6.199901859028644074e-03 -6.199901859028629329e-03
-6.213796846507285004e-03 -6.213796846507231228e-03
-6.228368319639404106e-03 -6.228368319639287012e-03
-6.243616090275712696e-03 -6.243616090275660654e-03
-6.259539961561414421e-03 -6.259539961561410085e-03
-6.276139727954434602e-03 -6.276139727954394704e-03
