-6.276139727954449347e-03 -6.276139727954411184e-03
-6.259539961561389268e-03 -6.259539961561327685e-03
-6.243616090275760401e-03 -6.243616090275744789e-03
-6.228368319639398902e-03 -6.228368319639391963e-03
-6.213796846507349189e-03 -6.213796846507206942e-03
-6.199901859028583359e-03 -6.199901859028565144e-03
-6.186683536650908720e-03 -6.186683536650792493e-03
-6.174142050102465230e-03 -6.174142050102431403e-03
-6.162277561401054843e-03 -6.162277561401032291e-03
-6.151090223832469603e-03 -6.151090223832408020e-03
-6.140580181957297837e-03 -6.140580181957272683e-03
-6.130747571596162522e-03 -6.130747571596037622e-03
-6.121592519834138761e-03 -6.121592519834136159e-03
-6.113115145009072153e-03 -6.113115145009060877e-03
-6.105315556711830328e-03 -6.105315556711820787e-03
-6.098193855778263374e-03 -6.098193855778235618e-03
-6.091750134288516014e-03 -6.091750134288500401e-03
-6.085984475565067373e-03 -6.085984475565052627e-03
-6.080896954165112937e-03 -6.080896954165066967e-03
-6.076487635882083307e-03 -6.076487635882049480e-03
-6.072756577740283900e-03 -6.072756577740190224e-03
-6.069703827995855984e-03 -6.069703827995781391e-03
-6.067329426135301303e-03 -6.067329426135226710e-03
-6.065633402869105226e-03 -6.065633402868972519e-03
-6.064615780133421168e-03 -6.064615780133417698e-03
-6.064276571091511275e-03 -6.064276571091500000e-03
-6.064615780133437647e-03 -6.064615780133354381e-03
-6.065633402869171145e-03 -6.065633402868947366e-03
-6.067329426135278751e-03 -6.067329426135235383e-03
-6.069703827995848178e-03 -6.069703827995742360e-03
-6.072756577740221449e-03 -6.072756577740199765e-03
-6.076487635882130145e-03 -6.076487635882124941e-03
-6.080896954165172785e-03 -6.080896954165066967e-03
-6.085984475565174058e-03 -6.085984475565168854e-03
-6.091750134288540300e-03 -6.091750134288510810e-03
-6.098193855778263374e-03 -6.098193855778235618e-03
-6.105315556711867625e-03 -6.105315556711856349e-03
-6.113115145009091235e-03 -6.113115145009032254e-03
-6.121592519834152639e-03 -6.121592519834145700e-03
-6.130747571596157318e-03 -6.130747571596105276e-03
-6.140580181957350746e-03 -6.140580181957311715e-03
-6.151090223832511236e-03 -6.151090223832433174e-03
-6.162277561401100813e-03 -6.162277561401090405e-03
-6.174142050102499925e-03 -6.174142050102407117e-03
-6.186683536650808106e-03 -6.186683536650792493e-03
-6.199901859028655350e-03 -6.199901859028633666e-03
-6.213796846507293678e-03 -6.213796846507243371e-03
-6.228368319639404974e-03 -6.228368319639300890e-03
-6.243616090275707492e-03 -6.243616090275668461e-03
-6.259539961561417891e-03 -6.259539961561406615e-03
-6.276139727954432000e-03 -6.276139727954414653e-03
