-2.00000000e-02 -4.90257204e-02 -4.90257204e-02 -4.36400653e-02 -4.36400653e-02 -4.10820926e-02 -4.10820926e-02 -4.03126269e-02 -4.03126269e-02 -3.97973890e-02 -3.97973890e-02 -3.81739683e-02 -3.81739683e-02 -3.81220757e-02 -3.81220757e-02 -3.44457011e-02 -3.44457011e-02 -2.97967796e-02 -2.97967796e-02 -2.70758841e-02 -2.70758841e-02 -2.58757458e-02 -2.58757458e-02 -2.58626416e-02 -2.58626416e-02
-1.96000000e-02 -4.86482212e-02 -4.86482212e-02 -4.31871561e-02 -4.31871561e-02 -4.06992225e-02 -4.06992225e-02 -3.97805604e-02 -3.97805604e-02 -3.91204563e-02 -3.91204563e-02 -3.75913550e-02 -3.75913550e-02 -3.75636499e-02 -3.75636499e-02 -3.39992065e-02 -3.39992065e-02 -2.92768274e-02 -2.92768274e-02 -2.64690896e-02 -2.64690896e-02 -2.52111833e-02 -2.52111833e-02 -2.51395116e-02 -2.51395116e-02
-1.92000000e-02 -4.82778767e-02 -4.82778767e-02 -4.27449182e-02 -4.27449182e-02 -4.03240366e-02 -4.03240366e-02 -3.92615862e-02 -3.92615862e-02 -3.84544535e-02 -3.84544535e-02 -3.70234986e-02 -3.70234986e-02 -3.70029420e-02 -3.70029420e-02 -3.35615589e-02 -3.35615589e-02 -2.87669736e-02 -2.87669736e-02 -2.58759291e-02 -2.58759291e-02 -2.45568024e-02 -2.45568024e-02 -2.44235639e-02 -2.44235639e-02
-1.88000000e-02 -4.79147960e-02 -4.79147960e-02 -4.23130249e-02 -4.23130249e-02 -3.99565037e-02 -3.99565037e-02 -3.87553869e-02 -3.87553869e-02 -3.78002239e-02 -3.78002239e-02 -3.64771740e-02 -3.64771740e-02 -3.64335733e-02 -3.64335733e-02 -3.31327383e-02 -3.31327383e-02 -2.82671755e-02 -2.82671755e-02 -2.52955674e-02 -2.52955674e-02 -2.39124968e-02 -2.39124968e-02 -2.37163511e-02 -2.37163511e-02
-1.84000000e-02 -4.75590590e-02 -4.75590590e-02 -4.18912124e-02 -4.18912124e-02 -3.95966065e-02 -3.95966065e-02 -3.82616484e-02 -3.82616484e-02 -3.71586398e-02 -3.71586398e-02 -3.59403398e-02 -3.59403398e-02 -3.58678599e-02 -3.58678599e-02 -3.27127304e-02 -3.27127304e-02 -2.77774037e-02 -2.77774037e-02 -2.47274344e-02 -2.47274344e-02 -2.32785048e-02 -2.32785048e-02 -2.30187896e-02 -2.30187896e-02
-1.80000000e-02 -4.72107247e-02 -4.72107247e-02 -4.14792666e-02 -4.14792666e-02 -3.92443349e-02 -3.92443349e-02 -3.77800707e-02 -3.77800707e-02 -3.65306467e-02 -3.65306467e-02 -3.54101943e-02 -3.54101943e-02 -3.53087210e-02 -3.53087210e-02 -3.23015257e-02 -3.23015257e-02 -2.72976405e-02 -2.72976405e-02 -2.41711467e-02 -2.41711467e-02 -2.26550645e-02 -2.26550645e-02 -2.23315853e-02 -2.23315853e-02
-1.76000000e-02 -4.68698368e-02 -4.68698368e-02 -4.10770127e-02 -4.10770127e-02 -3.88996834e-02 -3.88996834e-02 -3.73103761e-02 -3.73103761e-02 -3.59172984e-02 -3.59172984e-02 -3.48858094e-02 -3.48858094e-02 -3.47570168e-02 -3.47570168e-02 -3.18991191e-02 -3.18991191e-02 -2.68278773e-02 -2.68278773e-02 -2.36264523e-02 -2.36264523e-02 -2.20424038e-02 -2.20424038e-02 -2.16553026e-02 -2.16553026e-02
-1.72000000e-02 -4.65364283e-02 -4.65364283e-02 -4.06843076e-02 -4.06843076e-02 -3.85626496e-02 -3.85626496e-02 -3.68523130e-02 -3.68523130e-02 -3.53197726e-02 -3.53197726e-02 -3.43663449e-02 -3.43663449e-02 -3.42133234e-02 -3.42133234e-02 -3.15055086e-02 -3.15055086e-02 -2.63681136e-02 -2.63681136e-02 -2.30931911e-02 -2.30931911e-02 -2.14407390e-02 -2.14407390e-02 -2.09904060e-02 -2.09904060e-02
-1.68000000e-02 -4.62105241e-02 -4.62105241e-02 -4.03010336e-02 -4.03010336e-02 -3.82332330e-02 -3.82332330e-02 -3.64056582e-02 -3.64056582e-02 -3.47393485e-02 -3.47393485e-02 -3.38508852e-02 -3.38508852e-02 -3.36781235e-02 -3.36781235e-02 -3.11206955e-02 -3.11206955e-02 -2.59183559e-02 -2.59183559e-02 -2.25712683e-02 -2.25712683e-02 -2.08502764e-02 -2.08502764e-02 -2.03372878e-02 -2.03372878e-02
-1.64000000e-02 -4.58921436e-02 -4.58921436e-02 -3.99270942e-02 -3.99270942e-02 -3.79114350e-02 -3.79114350e-02 -3.59702162e-02 -3.59702162e-02 -3.41773172e-02 -3.41773172e-02 -3.33384957e-02 -3.33384957e-02 -3.31518464e-02 -3.31518464e-02 -3.07446836e-02 -3.07446836e-02 -2.54786159e-02 -2.54786159e-02 -2.20606355e-02 -2.20606355e-02 -2.02712130e-02 -2.02712130e-02 -1.96962877e-02 -1.96962877e-02
