# Energy    MatrixElement
-4.9557482485e-01 2.2356134395e-30
-4.9466751931e-01 1.6165231049e-30
-4.9449809090e-01 2.5736369094e-30
-4.9419284963e-01 2.8082629686e-07
-4.9394138400e-01 1.8379157693e-07
-4.9324509166e-01 4.2506146966e-30
-4.9249249795e-01 2.3513059246e-30
-4.9112341814e-01 1.6928865721e-29
-4.9100292089e-01 1.3044956521e-05
-4.9058929878e-01 3.9402206930e-30
-4.9046074168e-01 1.7897697819e-06
-4.8998417154e-01 3.7927972033e-30
-4.8994898177e-01 6.8299960850e-07
-4.8922896057e-01 2.1484681049e-05
-4.8812692347e-01 1.5393535260e-29
-4.8787415612e-01 2.8806179707e-05
-4.8785113503e-01 6.0782902410e-28
-4.8656723723e-01 1.5854310840e-05
-4.8620642139e-01 1.7416874521e-06
-4.8573914247e-01 2.0829031797e-06
-4.8524488425e-01 6.1105042326e-30
-4.8509872714e-01 1.6510487387e-29
-4.8490146244e-01 1.6806602675e-06
-4.8420292185e-01 6.8775854056e-30
-4.8413437257e-01 3.0681775839e-07
-4.8372766506e-01 7.2105723604e-07
-4.8340482213e-01 1.0265971817e-29
-4.8293733984e-01 3.2773981061e-06
-4.8216961549e-01 3.6219439000e-29
-4.8183146831e-01 2.6608633703e-05
-4.8106191408e-01 1.4912408814e-29
-4.8073541708e-01 3.4047676723e-09
-4.8066713635e-01 5.3663788936e-30
-4.8003664622e-01 1.1290471548e-07
-4.7886439657e-01 3.8230804542e-07
-4.7812314964e-01 2.4663984781e-06
-4.7772025249e-01 2.0660053913e-05
-4.7748536912e-01 1.0679794952e-28
-4.7744968799e-01 1.3103838651e-06
-4.7665216322e-01 1.7275506485e-29
-4.7512927651e-01 5.0958936009e-29
-4.7496157349e-01 1.0576945690e-28
-4.7488839767e-01 1.7584182867e-06
-4.7474562567e-01 1.0976006906e-28
-4.7452372486e-01 9.9907855973e-06
-4.7376011570e-01 2.0595700801e-05
-4.7345848286e-01 1.3464710775e-29
-4.7313914661e-01 1.1793182426e-28
-4.7284739175e-01 1.1782041228e-05
-4.7237373909e-01 2.3509972068e-29
-4.7137006048e-01 7.4153380914e-05
-4.7087464672e-01 2.2943388202e-28
-4.7054427738e-01 6.1765898254e-06
-4.7008462313e-01 7.4385428377e-28
-4.6961344718e-01 8.2143053830e-04
-4.6916334575e-01 1.4515797409e-03
-4.6881430784e-01 6.0150525237e-28
-4.6814093492e-01 1.2884429856e-27
-4.6808824542e-01 6.7552359379e-05
-4.6749487290e-01 3.8148296808e-04
-4.6651576365e-01 2.2181944487e-29
-4.6556834789e-01 2.2963798347e-05
-4.6466251402e-01 1.4512045285e-06
-4.6450269218e-01 8.8700959847e-29
-4.6421908178e-01 6.2147596667e-04
-4.6379672568e-01 1.2730488959e-05
-4.6293500735e-01 2.4237404783e-05
-4.6261082155e-01 1.3579573098e-28
-4.6227111844e-01 2.2435725822e-04
-4.6207736804e-01 1.7939820508e-28
-4.6125477683e-01 1.3498573552e-05
-4.6084455873e-01 2.0190445237e-29
-4.6012575403e-01 1.6683473912e-29
