# Energy    MatrixElement
-5.2989853614e-01 9.9873019093e-02 4.0191651455e-01 4.9604737916e-01 3.6929139579e-31 2.1630871904e-03
-5.2966009356e-01 2.0565622252e-01 6.0042772634e-01 1.8983305933e-01 4.1760616741e-31 4.0829918026e-03
-5.2913540724e-01 1.1783258375e-01 4.9283739249e-01 3.8709133572e-01 1.1634876052e-31 2.2386880375e-03
-5.2899163060e-01 1.9927110923e-01 4.7807293788e-01 3.1929741338e-01 9.4229584766e-32 3.3585395082e-03
-5.2863261142e-01 2.2513063435e-01 2.6258179465e-01 5.0395707257e-01 1.8834239197e-31 8.3304984295e-03
-5.2765699724e-01 1.8886980278e-01 5.2345929114e-01 2.8149003692e-01 3.5859786716e-31 6.1808691551e-03
-5.2716309781e-01 2.7368842183e-01 2.6873178406e-01 4.4661964431e-01 7.0541762231e-32 1.0960149805e-02
-5.2634145076e-01 3.4292450554e-01 3.3639576372e-01 3.1487460473e-01 4.3192472636e-31 5.8051260134e-03
-5.2598016825e-01 2.3140851452e-01 4.2474925673e-01 3.3670923661e-01 2.5899330247e-31 7.1329921431e-03
-5.2556847409e-01 1.6901757225e-01 3.6031158813e-01 4.6566633081e-01 1.9476630045e-31 5.0045088147e-03
-5.2494388631e-01 1.5000873054e-01 2.1051101202e-01 6.3289508604e-01 6.8556788438e-31 6.5851713988e-03
-5.2460907674e-01 1.5639259460e-01 3.3534489922e-01 5.0451824378e-01 1.4893012998e-31 3.7442624028e-03
-5.2409482289e-01 1.7415943003e-01 7.0176002044e-01 1.2090660770e-01 8.6466559775e-32 3.1739418265e-03
-5.2346372566e-01 1.9498537587e-01 3.5215209390e-01 4.3884324516e-01 1.1976910936e-31 1.4019285071e-02
-5.2330589359e-01 2.0700440682e-01 3.4538603635e-01 4.4417793565e-01 5.5481040544e-31 3.4316211821e-03
-5.2322028213e-01 2.6389786581e-01 3.4542407042e-01 3.8465511409e-01 1.0849378369e-31 6.0229496833e-03
-5.2214520666e-01 4.3518955139e-01 3.2717627177e-01 2.1726592861e-01 1.3820499188e-31 2.0368248225e-02
-5.2150327103e-01 1.8933387079e-01 3.1295775504e-01 4.9342234756e-01 1.0573041567e-31 4.2860266079e-03
-5.2132205724e-01 1.8507392475e-01 8.0161651615e-01 1.0111817369e-02 4.5510148926e-31 3.1977417330e-03
-5.2002623883e-01 2.1387196244e-01 3.1191346225e-01 4.6852700398e-01 1.3744653616e-31 5.6875713271e-03
-5.1973234722e-01 2.7446543716e-01 3.7892620063e-01 3.4212743218e-01 1.0667225614e-31 4.4809300239e-03
-5.1908200515e-01 2.5585651170e-01 3.5561749779e-01 3.8371754484e-01 1.2916770230e-31 4.8084456722e-03
-5.1868329233e-01 1.7844488199e-01 3.6183361058e-01 4.5265736161e-01 7.9128869319e-32 7.0641458186e-03
-5.1844914695e-01 1.0571510162e-01 9.1991997055e-02 7.9888393381e-01 6.9914676935e-32 3.4089675086e-03
-5.1838056149e-01 4.7264049199e-01 2.5066211007e-01 2.5996776109e-01 4.1166013730e-32 1.6729636853e-02
-5.1760482630e-01 8.0974775693e-02 2.1719611621e-01 6.9928076169e-01 7.8580058352e-32 2.5483464028e-03
-5.1704956868e-01 1.8092939830e-01 3.4160780897e-01 4.7344204047e-01 5.1931146030e-32 4.0207522714e-03
-5.1703652542e-01 5.2426040252e-01 3.3147555489e-01 1.2823010461e-01 1.9006208809e-31 1.6033937974e-02
-5.1634453388e-01 1.7085951638e-01 4.1285382277e-01 4.1281135896e-01 2.2429759607e-31 3.4753018875e-03
-5.1629075305e-01 3.7116952243e-01 4.8684994201e-01 1.3307896146e-01 1.8770843975e-31 8.9015740923e-03
-5.1602071218e-01 5.3171952169e-01 2.9263515197e-01 1.6807211032e-01 5.6815410191e-32 7.5732160208e-03
-5.1579358330e-01 4.2339920231e-01 3.3520148538e-01 2.3600403754e-01 1.9068824733e-31 5.3952747775e-03
-5.1496557476e-01 1.4245103355e-01 3.6524905062e-01 4.8990713929e-01 1.3267431550e-31 2.3927765329e-03
-5.1457029649e-01 3.1634123968e-01 2.6093998086e-01 4.1646166518e-01 2.1652913380e-32 6.2571142777e-03
-5.1410713816e-01 3.4386422079e-01 4.0719553968e-01 2.3974846257e-01 2.8121588524e-32 9.1917769631e-03
-5.1394718638e-01 1.2226376381e-01 7.2869020568e-02 8.0119702936e-01 3.8286548009e-32 3.6701862686e-03
-5.1371660725e-01 3.4896438789e-01 2.7754571579e-01 3.6765240424e-01 2.6273138214e-31 5.8374920813e-03
-5.1357807267e-01 3.2937333473e-01 4.1277032370e-01 2.4726914933e-01 1.3235365651e-31 1.0587192234e-02
-5.1318646528e-01 1.2457644358e-01 4.6270149740e-01 4.1055687143e-01 7.5932367000e-32 2.1651875967e-03
-5.1317212159e-01 4.3972608159e-01 3.3642898094e-01 2.1757010966e-01 5.1899929421e-32 6.2748278147e-03
-5.1291311216e-01 4.4180989449e-01 3.4841500688e-01 2.0403004851e-01 1.8520556766e-32 5.7450501243e-03
-5.1269652745e-01 4.4374620919e-01 3.5756182979e-01 1.9323625462e-01 3.0827665171e-32 5.4557063992e-03
-5.1172611433e-01 1.3199353611e-01 2.1139281060e-02 8.4050901430e-01 1.0067140659e-31 6.3581685299e-03
-5.1108318896e-01 8.3801529485e-03 5.0886370764e-01 4.8223685786e-01 1.7293539197e-31 5.1928155126e-04
-5.1044031710e-01 3.3398267064e-01 2.9166334448e-01 3.6586824432e-01 9.8418956158e-32 8.4857405602e-03
-5.1003691556e-01 2.7628653533e-01 3.8713220557e-01 3.2982698979e-01 1.3863116682e-32 6.7542693105e-03
-5.1002129486e-01 6.0857161578e-01 1.2284229567e-01 2.4141588114e-01 5.9514866362e-32 2.7170207412e-02
-5.0901781137e-01 7.5545431197e-02 2.9233707651e-01 6.2999983684e-01 2.2002338825e-32 2.1176554539e-03
-5.0852279790e-01 4.3695199952e-02 4.6309115830e-01 4.9225752965e-01 6.1039458187e-32 9.5611209519e-04
-5.0721236310e-01 1.5607451277e-01 3.0422745563e-01 5.3631118294e-01 1.1439783236e-32 3.3868486659e-03
-5.0705138795e-01 1.5596778563e-01 3.5809882587e-01 4.8190443202e-01 8.1379873609e-32 4.0289564839e-03
-5.0684745984e-01 1.1074831734e-01 3.7089691429e-01 5.1583223416e-01 8.3935249908e-32 2.5225342156e-03
-5.0620401446e-01 2.0584995874e-01 5.5675381366e-01 2.3265434471e-01 2.3054356223e-32 4.7418828925e-03
-5.0613059335e-01 2.9567824976e-01 5.2955896298e-01 1.6884913204e-01 2.6055264737e-32 5.9136552179e-03
-5.0600798169e-01 1.2856335462e-01 3.3393047497e-01 5.3415934032e-01 1.6625449987e-32 3.3468300994e-03
