# Energy    MatrixElement
-3.8590590711e-01 4.6130172997e-30
-3.8511583230e-01 1.0212103262e-07
-3.8500198637e-01 5.2312543137e-30
-3.8409515577e-01 4.3103772111e-30
-3.8396180420e-01 2.9314996068e-30
-3.8372133262e-01 1.7082987972e-05
-3.8334781874e-01 1.1126576985e-30
-3.8256818469e-01 8.5263352668e-06
-3.8093470310e-01 1.5103122909e-06
-3.8040396598e-01 2.0142343893e-29
-3.8038533506e-01 5.6197529928e-07
-3.8017073374e-01 1.6567911059e-06
-3.7952238754e-01 1.8832290355e-07
-3.7871241746e-01 4.5382108381e-09
-3.7848544923e-01 8.3380012232e-31
-3.7804348888e-01 2.4971396589e-30
-3.7690923894e-01 3.4680805754e-05
-3.7630342581e-01 1.4129902797e-05
-3.7539474102e-01 3.2255977194e-28
-3.7537467951e-01 6.2426074950e-06
-3.7522654708e-01 6.4207479992e-29
-3.7482733190e-01 3.4408316486e-09
-3.7435987576e-01 4.7510261002e-30
-3.7363469152e-01 3.2351008699e-05
-3.7331112598e-01 4.4593474757e-07
-3.7306704866e-01 6.7897056480e-29
-3.7275524924e-01 6.0593866356e-05
-3.7229682104e-01 1.6218794148e-06
-3.7213066863e-01 8.2462462811e-06
-3.7141512838e-01 1.2092980480e-30
-3.7077572876e-01 3.4700105381e-30
-3.6977532502e-01 1.6855601287e-08
-3.6843989516e-01 3.9670126835e-30
-3.6722540223e-01 2.1344056059e-07
-3.6706502652e-01 3.3722570064e-30
-3.6562798872e-01 3.8336338221e-30
-3.6548695641e-01 8.0158762559e-07
-3.6538195781e-01 1.5017099581e-30
-3.6482549504e-01 4.1342013707e-29
-3.6409489203e-01 5.6237392817e-30
-3.6392212946e-01 8.3490610466e-07
-3.6161915872e-01 1.6646207852e-28
-3.6160876925e-01 1.9874892933e-06
-3.6056831494e-01 8.8565137668e-08
-3.5991169932e-01 9.7427397450e-31
-3.5968885818e-01 9.5960852415e-30
-3.5924681149e-01 3.4202070497e-06
-3.5906422938e-01 3.0984526784e-30
-3.5886969939e-01 8.1602584944e-07
-3.5763115878e-01 5.2725515030e-07
-3.5714008343e-01 2.3779677320e-07
-3.5603268986e-01 1.2829551626e-30
-3.5566461672e-01 1.1890621043e-06
-3.5562535221e-01 2.4875332630e-29
-3.5517372841e-01 8.6578215829e-08
-3.5514877401e-01 4.3118438805e-30
-3.5427352214e-01 2.8773026660e-08
-3.5398876220e-01 2.7571188984e-30
-3.5197677713e-01 8.2987050202e-31
-3.5173462651e-01 5.5398192179e-31
-3.5016724718e-01 2.8479717075e-07
-3.4977201568e-01 9.4011502083e-31
-3.4963234053e-01 2.7772023369e-31
-3.4805144748e-01 7.6166592914e-31
-3.4751847406e-01 6.1534033359e-07
-3.4714100744e-01 1.9787340708e-29
-3.4702717947e-01 2.4392334734e-07
-3.4665472420e-01 6.9022391218e-30
-3.4501854715e-01 1.4452451906e-30
-3.4460603807e-01 3.6086407977e-06
-3.4448324996e-01 4.0635920362e-30
-3.4412361875e-01 4.4516104677e-29
-3.4398537392e-01 3.6837149458e-06
-3.4372539221e-01 5.3695206235e-07
-3.4264444308e-01 4.4625346323e-08
-3.4199870671e-01 5.1126807109e-27
-3.4198833971e-01 5.4453815001e-05
-3.4125385165e-01 1.5028358705e-29
-3.4080405332e-01 2.2554274447e-07
-3.4052847557e-01 2.6111992817e-30
-3.3913967870e-01 8.8754706476e-08
-3.3868592838e-01 4.9488364786e-31
-3.3820757901e-01 7.9746521551e-31
-3.3693421690e-01 2.5280116473e-07
-3.3637714583e-01 2.0961205672e-06
-3.3634287792e-01 1.1920810683e-28
-3.3611377983e-01 3.3927685083e-06
-3.3586779100e-01 2.0452996922e-06
-3.3480180213e-01 2.9335381126e-07
-3.3475954825e-01 1.3001078572e-29
-3.3259691963e-01 3.4928908225e-06
-3.3245168791e-01 2.8039528550e-29
-3.3216245494e-01 1.9971942643e-07
-3.3168353250e-01 7.9733792503e-31
-3.3077889370e-01 4.5407128164e-09
-3.2994084302e-01 3.4772733560e-07
-3.2887550887e-01 1.4632532054e-06
-3.2767477681e-01 1.7910347043e-05
-3.2762538047e-01 5.8950616959e-28
-3.2740696638e-01 1.7389292631e-30
-3.2650092121e-01 4.2432447911e-06
-3.2635403344e-01 2.0771608411e-29
-3.2584074036e-01 1.1335563834e-30
-3.2516544597e-01 2.3557722920e-07
-3.2466521233e-01 5.2402268032e-30
-3.2441709045e-01 3.4058421556e-07
-3.2210144168e-01 3.4510595969e-08
-3.2126306632e-01 4.9037793091e-30
-3.2098101766e-01 3.8109049942e-06
-3.1892823432e-01 5.7860477182e-31
-3.1849937713e-01 1.9880317309e-06
-3.1839834892e-01 5.7130498041e-07
-3.1780136117e-01 2.1363980249e-30
-3.1715362485e-01 9.4119077464e-31
-3.1658590957e-01 2.4564740945e-29
-3.1643071368e-01 5.5299805164e-30
-3.1638547752e-01 2.0198566610e-08
-3.1637527012e-01 2.6617509350e-07
-3.1474656779e-01 3.9007805389e-06
-3.1444806063e-01 6.1317810987e-07
-3.1311791912e-01 1.7813540426e-30
-3.1293315937e-01 9.9349874008e-31
-3.1250706861e-01 3.1137483845e-30
-3.1243530096e-01 8.1886324856e-30
-3.1079016144e-01 1.9445641872e-30
-3.1020233639e-01 5.1229472382e-30
-3.0998191818e-01 2.7258326414e-06
-3.0996708243e-01 5.4623829948e-29
-3.0990976090e-01 3.7959517032e-07
-3.0906212507e-01 8.9796045845e-31
-3.0893736948e-01 1.8994210523e-08
-3.0884246910e-01 8.8959738895e-31
-3.0788678878e-01 3.6672393891e-31
-3.0602345137e-01 6.4529433333e-05
