#Ef (V/um) | GS1 (meV) | GS2 (meV) | Gap (micro-eV)
2.000000000000000000e+01 -1.264384107740765018e+01 -1.264371402788249377e+01 1.270495251564085493e-01
2.300000000000000000e+01 -9.903528966697676239e+00 -9.903416989449571162e+00 1.119772481050773649e-01
2.600000000000000000e+01 -7.959300330337579332e+00 -7.959202658118476492e+00 9.767221910284007436e-02
2.900000000000000000e+01 -6.531443280590761624e+00 -6.531358294651605334e+00 8.498593915629015783e-02
3.200000000000000000e+01 -5.452886866069158955e+00 -5.452812815597970264e+00 7.405047118869134692e-02
3.500000000000000000e+01 -4.618820983633971977e+00 -4.618756254065856659e+00 6.472956811531815902e-02
3.800000000000000000e+01 -3.960817393371544703e+00 -3.960760584856798161e+00 5.680851474654247113e-02
4.100000000000000000e+01 -3.432686847461810409e+00 -3.432636778308674863e+00 5.006915313554571867e-02
4.400000000000000000e+01 -3.002353699488469640e+00 -3.002309383181491764e+00 4.431630697787625195e-02
4.700000000000000000e+01 -2.646989744956677271e+00 -2.646950360646808775e+00 3.938430986849539295e-02
5.000000000000000000e+01 -2.349995433301466985e+00 -2.349960297429197098e+00 3.513587226988690304e-02
5.300000000000000000e+01 -2.099069342242270597e+00 -2.099037883823568151e+00 3.145841870244581173e-02
5.600000000000000000e+01 -1.884940423612214699e+00 -1.884912163635291904e+00 2.825997692279536011e-02
5.900000000000000000e+01 -1.700515809413325918e+00 -1.700490344015583632e+00 2.546539774228584463e-02
6.200000000000000000e+01 -1.540295952677749325e+00 -1.540272939541136532e+00 2.301313661279280609e-02
6.500000000000000000e+01 -1.399965700911964150e+00 -1.399944848303307898e+00 2.085260865625215843e-02
6.800000000000000000e+01 -1.276103494983219289e+00 -1.276084552932519989e+00 1.894205069929988383e-02
7.100000000000000000e+01 -1.165971283113070633e+00 -1.165954036307656816e+00 1.724680541381751198e-02
7.400000000000000000e+01 -1.067360433411428167e+00 -1.067344695463623649e+00 1.573794780451720499e-02
7.700000000000000000e+01 -9.784770201548119717e-01 -9.784626289677971211e-01 1.439118701485053720e-02
8.000000000000000000e+01 -8.978551413454460839e-01 -8.978419553555742061e-01 1.318598987187780125e-02
