# L  alpha(eV.A)  gap_ueV_2nd  gap_ueV_4th
2.000000000000000000e+01 1.271016091514996836e-04 1.271016091524551639e-01
2.300000000000000000e+01 1.120455879592834622e-04 1.120455879605186666e-01
2.600000000000000000e+01 9.775654936124917650e-05 9.775654936233779679e-02
2.900000000000000000e+01 8.508614184404977572e-05 8.508614184402074621e-02
3.200000000000000000e+01 7.416664987253880647e-05 7.416664987193455350e-02
3.500000000000000000e+01 6.486202835863930636e-05 6.486202835942478373e-02
3.800000000000000000e+01 5.695770936691888723e-05 5.695770936668675954e-02
4.100000000000000000e+01 5.023561848851607422e-05 5.023561848926591522e-02
4.400000000000000000e+01 4.450059912015733195e-05 4.450059912100914894e-02
4.700000000000000000e+01 3.958694269038299276e-05 3.958694268961851503e-02
5.000000000000000000e+01 3.535725710786120614e-05 3.535725710823722778e-02
5.300000000000000000e+01 3.169880509650132102e-05 3.169880509598307916e-02
5.600000000000000000e+01 2.851939518116976599e-05 2.851939518073477731e-02
5.900000000000000000e+01 2.574360543865916181e-05 2.574360543857769079e-02
6.200000000000000000e+01 2.330957286692808555e-05 2.330957286694398944e-02
6.500000000000000000e+01 2.116636137698303254e-05 2.116636137737028245e-02
6.800000000000000000e+01 1.927184252710920507e-05 1.927184252719510438e-02
7.100000000000000000e+01 1.759100341598726519e-05 1.759100341607033879e-02
7.400000000000000000e+01 1.609459977962207812e-05 1.609459977986761603e-02
7.700000000000000000e+01 1.475808377838206058e-05 1.475808377848081276e-02
8.000000000000000000e+01 1.356074874374927172e-05 1.356074874375896855e-02
